title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Black Hawk Down  ,2001,R,144," Drama, History, War            ",7.7,74,    Ridley Scott  ,      Josh Hartnett,   Ewan McGregor,   Tom Sizemore,   Eric Bana  ,366139,108640000
    Dark Waters  ,2019,PG-13,126," Biography, Drama, History            ",7.6,73,    Todd Haynes  ,      Mark Ruffalo,   Anne Hathaway,   Tim Ro  ins,   Bill Pullman  ,63942,0
    The Two Popes  ,2019,PG-13,125," Biography, Comedy, Drama            ",7.6,75,    Fernando Meirelles  ,      Anthony Hopkins,   Jonathan Pryce,   Juan Minujn,   Luis Gnecco  ,108871,0
    The Boy Who Harnessed the Wind  ,2019,TV-PG,113," Biography, Drama, History            ",7.6,68,    Chiwetel Ejiofor  ,      Chiwetel Ejiofor,   Maxwell Sim a,   Felix Lem uro,   Ro ert Agengo  ,29809,0
    Cold War  ,2018,R,89," Drama, History, Music            ",7.6,90,    Pawel Pawlikowski  ,      Joanna Kulig,   Tomasz Kot,   Borys Szyc,   Agata Kulesza  ,49827,4570000
    Hotel Mum ai  ,2018,R,123," Action, Drama, History            ",7.6,62,    Anthony Maras  ,      Dev Patel,   Armie Hammer,   Nazanin Boniadi,   Anupam Kher  ,54232,9650000
    Bridge of Spies  ,2015,PG-13,142," Drama, History, Thriller            ",7.6,81,    Steven Spiel erg  ,      Tom Hanks,   Mark Rylance,   Alan Alda,   Amy Ryan  ,289978,72310000
    Les Misra les  ,2012,PG-13,158," Drama, History, Musical            ",7.6,63,    Tom Hooper  ,      Hugh Jackman,   Russell Crowe,   Anne Hathaway,   Amanda Seyfried  ,310607,148810000
    The Impossi le  ,2012,PG-13,114," Drama, History, Thriller            ",7.6,73,    J.A. Bayona  ,      Naomi Watts,   Ewan McGregor,   Tom Holland,   Oaklee Pendergast  ,202661,19020000
    The Flowers of War  ,2011,R,146," Drama, History, Romance            ",7.6,0,    Yimou Zhang  ,      Christian Bale,   Ni Ni,   Xinyi Zhang,   Tianyuan Huang  ,49941,10000
    The Counterfeiters  ,2007,R,99," Crime, Drama, History            ",7.6,78,    Stefan Ruzowitzky  ,      Karl Markovics,   August Diehl,   Devid Striesow,   Martin Bram ach  ,43393,5480000
    Jodhaa Ak ar  ,2008,Not Rated,213," Action, Drama, History            ",7.6,69,    Ashutosh Gowariker  ,      Hrithik Roshan,   Aishwarya Rai Bachchan,   Sonu Sood,   Poonam Sinha  ,30094,3440000
    Sophie Scholl: The Final Days  ,2005,Not Rated,120," Biography, Crime, Drama            ",7.6,76,    Marc Rothemund  ,      Julia Jentsch,   Fa ian Hinrichs,   Alexander Held,   Johanna Gastdorf  ,26574,680000
    Enemy at the Gates  ,2001,R,131," Drama, History, War            ",7.6,0,    Jean-Jacques Annaud  ,      Jude Law,   Ed Harris,   Joseph Fiennes,   Rachel Weisz  ,245068,51400000
    The Favourite  ,2018,R,119," Biography, Comedy, Drama            ",7.5,91,    Yorgos Lanthimos  ,      Olivia Colman,   Emma Stone,   Rachel Weisz,   Nicholas Hoult  ,175010,34370000
    Ip Man 2  ,2010,R,108," Action, Biography, Drama            ",7.5,67,    Wilson Yip  ,      Donnie Yen,   Xiaoming Huang,   Sammo Kam-Bo Hung,   Lynn Xiong  ,98445,210000
    A Royal Affair  ,2012,R,137," Biography, Drama, History            ",7.5,73,    Nikolaj Arcel  ,      Alicia Vikander,   Mads Mikkelsen,   Mikkel Boe Flsgaard,   Trine Dyrholm  ,44549,1550000
    Selma  ,2014,PG-13,128," Biography, Drama, History            ",7.5,80,    Ava DuVernay  ,      David Oyelowo,   Carmen Ejogo,   Oprah Winfrey,   Tom Wilkinson  ,87066,52080000
"    Lust, Caution  ",2007,NC-17,157," Drama, History, Romance            ",7.5,61,    Ang Lee  ,      Tony Chiu-Wai Leung,   Tang Wei,   Joan Chen,   Leehom Wang  ,37640,4600000
    United 93  ,2006,R,111," Action, Drama, History            ",7.5,90,    Paul Greengrass  ,      David Alan Basche,   Olivia Thirl y,   Liza Coln-Zayas,   J.J. Johnson  ,98841,31570000
    The Assassination of Jesse James  y the Coward Ro ert Ford  ,2007,R,160," Biography, Crime, Drama            ",7.5,68,    Andrew Dominik  ,      Brad Pitt,   Casey Affleck,   Sam Shepard,   Mary-Louise Parker  ,170368,3900000
    Munich  ,2005,R,164," Action, Drama, History            ",7.5,74,    Steven Spiel erg  ,      Eric Bana,   Daniel Craig,   Marie-Jose Croze,   Ciarn Hinds  ,213426,47400000
    Miracle  ,2004,PG,135," Biography, Drama, History            ",7.5,68,    Gavin O  Connor  ,      Kurt Russell,   Patricia Clarkson,   Nathan West,   Noah Emmerich  ,48544,64380000
    Patriots Day  ,2016,R,133," Action, Crime, Drama            ",7.4,69,    Peter Berg  ,      Mark Wahl erg,   Michelle Monaghan,   J.K. Simmons,   John Goodman  ,93249,31890000
    Darkest Hour  ,2017,PG-13,125," Biography, Drama, History            ",7.4,75,    Joe Wright  ,      Gary Oldman,   Lily James,   Kristin Scott Thomas,   Ben Mendelsohn  ,174214,56470000
    Zero Dark Thirty  ,2012,R,157," Drama, History, Thriller            ",7.4,95,    Kathryn Bigelow  ,      Jessica Chastain,   Joel Edgerton,   Chris Pratt,   Mark Strong  ,274079,95720000
    Eddie the Eagle  ,2015,PG-13,106," Biography, Comedy, Drama            ",7.4,0,    Dexter Fletcher  ,      Taron Egerton,   Hugh Jackman,   Tom Costello,   Jo Hartley  ,86450,15790000
    The Baader Meinhof Complex  ,2008,R,150," Action, Biography, Crime            ",7.4,76,    Uli Edel  ,      Martina Gedeck,   Moritz Blei treu,   Johanna Wokalek,   Bruno Ganz  ,36189,480000
"    Good Night, and Good Luck.  ",2005,PG,93," Biography, Drama, History            ",7.4,80,    George Clooney  ,      David Strathairn,   George Clooney,   Patricia Clarkson,   Jeff Daniels  ,94415,31500000
    Red Cliff  ,2008,R,148," Action, Adventure, Drama            ",7.4,73,    John Woo  ,      Tony Chiu-Wai Leung,   Takeshi Kaneshiro,   Fengyi Zhang,   Chen Chang  ,43904,630000
    Master and Commander: The Far Side of the World  ,2003,PG-13,138," Action, Adventure, Drama            ",7.4,81,    Peter Weir  ,         Russell Crowe,     Paul Bettany,     Billy Boyd,  James D    Arcy ,204092,93930000
    Detroit  ,2017,R,143," Crime, Drama, History            ",7.3,77,    Kathryn Bigelow  ,      John Boyega,   Anthony Mackie,   Algee Smith,   Jaco  Latimore  ,48762,16790000
    13 Hours  ,2016,R,144," Action, Drama, History            ",7.3,0,    Michael Bay  ,      John Krasinski,   Pa lo Schrei er,   James Badge Dale,   David Denman  ,120914,52850000
    Woman in Gold  ,2015,PG-13,109," Biography, Drama, History            ",7.3,0,    Simon Curtis  ,      Helen Mirren,   Ryan Reynolds,   Daniel Brhl,   Katie Holmes  ,54284,33310000
    Testament of Youth  ,2014,PG-13,129," Biography, Drama, History            ",7.3,76,    James Kent  ,      Alicia Vikander,   Kit Harington,   Taron Egerton,   Dominic West  ,26838,1820000
    First Man  ,2018,PG-13,141," Biography, Drama, History            ",7.3,84,    Damien Chazelle  ,      Ryan Gosling,   Claire Foy,   Jason Clarke,   Kyle Chandler  ,171028,44940000
    Invictus  ,2009,PG-13,134," Biography, Drama, History            ",7.3,74,    Clint Eastwood  ,      Morgan Freeman,   Matt Damon,   Tony Kgoroge,   Patrick Mofokeng  ,150768,37490000
    Max Manus: Man of War  ,2008,Not Rated,118," Action, Biography, Drama            ",7.3,0,    Joachim Rnning   ,       Aksel Hennie,   Agnes Kittelsen,   Nicolai Cleve Broch,   Ken Duken    ,26692,0
    The Way Back  ,2010,PG-13,133," Adventure, Drama, History            ",7.3,66,    Peter Weir  ,      Jim Sturgess,   Ed Harris,   Colin Farrell,   Dragos Bucur  ,111087,2700000
    The Young Victoria  ,2009,PG,105," Biography, Drama, History            ",7.3,64,    Jean-Marc Valle  ,      Emily Blunt,   Rupert Friend,   Paul Bettany,   Miranda Richardson  ,58225,11000000
    Across the Universe  ,2007,PG-13,133," Drama, Fantasy, History            ",7.3,0,    Julie Taymor  ,      Evan Rachel Wood,   Jim Sturgess,   Joe Anderson,   Dana Fuchs  ,106375,24340000
    Lincoln  ,2012,PG-13,150," Biography, Drama, History            ",7.3,86,    Steven Spiel erg  ,      Daniel Day-Lewis,   Sally Field,   David Strathairn,   Joseph Gordon-Levitt  ,246273,182210000
    The Queen  ,2006,PG-13,103," Biography, Drama, History            ",7.3,91,    Stephen Frears  ,      Helen Mirren,   Michael Sheen,   James Cromwell,   Alex Jennings  ,104673,56440000
    Capote  ,2005,R,114," Biography, Crime, Drama            ",7.3,88,    Bennett Miller  ,      Philip Seymour Hoffman,   Clifton Collins Jr.,   Catherine Keener,   Allie Mickelson  ,126082,28750000
    Troy  ,2004,R,163," Drama, History            ",7.3,0,    Wolfgang Petersen  ,      Brad Pitt,   Eric Bana,   Orlando Bloom,   Julian Glover  ,491348,133380000
    Sea iscuit  ,2003,PG-13,140," Drama, History, Sport            ",7.3,72,    Gary Ross  ,      To ey Maguire,   Jeff Bridges,   Eliza eth Banks,   Chris Cooper  ,67167,120280000
