title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Moon  ,2009,R,97," Drama, Mystery, Sci-Fi            ",7.9,67,    Duncan Jones  ,      Sam Rockwell,   Kevin Spacey,   Dominique McElligott,   Rosie Shaw  ,336763,5010000
    The Man from Earth  ,2007,Not Rated,87," Drama, Fantasy, Mystery            ",7.9,0,    Richard Schenkman  ,      David Lee Smith,   Tony Todd,   John Billingsley,   Ellen Crawford  ,175129,0
    Mystic River  ,2003,R,138," Crime, Drama, Mystery            ",7.9,84,    Clint Eastwood  ,      Sean Penn,   Tim Ro  ins,   Kevin Bacon,   Emmy Rossum  ,421850,90140000
    Harry Potter and the Prisoner of Azka an  ,2004,PG,142," Adventure, Family, Fantasy            ",7.9,82,    Alfonso Cuarn  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Richard Griffiths  ,557187,249360000
    Talk to Her  ,2002,R,112," Drama, Mystery, Romance            ",7.9,86,    Pedro Almodvar  ,      Rosario Flores,   Javier Cmara,   Daro Grandinetti,   Leonor Watling  ,105142,9280000
    The Bourne Identity  ,2002,PG-13,119," Action, Mystery, Thriller            ",7.9,68,    Doug Liman  ,      Franka Potente,   Matt Damon,   Chris Cooper,   Clive Owen  ,511380,121660000
    Mulholland Drive  ,2001,R,147," Drama, Mystery, Thriller            ",7.9,85,    David Lynch  ,      Naomi Watts,   Laura Harring,   Justin Theroux,   Jeanne Bates  ,324813,7220000
    The Hateful Eight  ,2015,R,168," Crime, Drama, Mystery            ",7.8,68,    Quentin Tarantino  ,      Samuel L. Jackson,   Kurt Russell,   Jennifer Jason Leigh,   Walton Goggins  ,522776,54120000
    Loving Vincent  ,2017,PG-13,94," Animation, Biography, Crime            ",7.8,62,    Dorota Ko iela   ,       Douglas Booth,   Jerome Flynn,   Ro ert Gulaczyk,   Helen McCrory    ,51445,6740000
    The Past  ,2013,PG-13,130," Drama, Mystery            ",7.8,85,    Asghar Farhadi  ,      Brnice Bejo,   Tahar Rahim,   Ali Mosaffa,   Pauline Burlet  ,45232,1330000
    The Best Offer  ,2013,R,131," Crime, Drama, Mystery            ",7.8,0,    Giuseppe Tornatore  ,      Geoffrey Rush,   Jim Sturgess,   Sylvia Hoeks,   Donald Sutherland  ,109390,90000
    The Girl with the Dragon Tattoo  ,2011,R,158," Crime, Drama, Mystery            ",7.8,71,    David Fincher  ,      Daniel Craig,   Rooney Mara,   Christopher Plummer,   Stellan Skarsgrd  ,426555,102520000
    Mother  ,2009,R,129," Crime, Drama, Mystery            ",7.8,79,    Bong Joon Ho  ,      Hye-ja Kim,   Won Bin,   Jin Goo,   Je-mun Yun  ,53911,550000
    The White Ri  on  ,2009,R,144," Drama, History, Mystery            ",7.8,82,    Michael Haneke  ,      Christian Friedel,   Ernst Jaco i,   Leonie Benesch,   Ulrich Tukur  ,69089,2220000
    The Girl with the Dragon Tattoo  ,2009,R,152," Crime, Drama, Mystery            ",7.8,76,    Niels Arden Oplev  ,      Michael Nyqvist,   Noomi Rapace,   Ewa Frling,   Lena Endre  ,209657,10100000
    Atonement  ,2007,R,123," Drama, Mystery, Romance            ",7.8,85,    Joe Wright  ,      Keira Knightley,   James McAvoy,   Brenda Blethyn,   Saoirse Ronan  ,253640,50930000
    Hot Fuzz  ,2007,R,121," Action, Comedy, Mystery            ",7.8,81,    Edgar Wright  ,      Simon Pegg,   Nick Frost,   Martin Freeman,   Bill Nighy  ,466150,23640000
    Wind River  ,2017,R,107," Crime, Drama, Mystery            ",7.7,73,    Taylor Sheridan  ,      Kelsey As ille,   Jeremy Renner,   Julia Jones,   Teo Briones  ,209624,33800000
    Get Out  ,2017,R,104," Horror, Mystery, Thriller            ",7.7,85,    Jordan Peele  ,      Daniel Kaluuya,   Allison Williams,   Bradley Whitford,   Catherine Keener  ,498949,176040000
    When Marnie Was There  ,2014,PG,103," Animation, Drama, Family            ",7.7,72,    James Simone   ,       Sara Takatsuki,   Kasumi Arimura,   Nanako Matsushima,   Susumu Terajima    ,33470,770000
    Harry Potter and the Deathly Hallows: Part 1  ,2010,PG-13,146," Adventure, Family, Fantasy            ",7.7,65,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Bill Nighy  ,483399,295980000
    Paprika  ,2006,R,90," Animation, Drama, Fantasy            ",7.7,81,    Satoshi Kon  ,      Megumi Hayashi ara,   Tru Emori,   Katsunosuke Hori,   Tru Furuya  ,72217,880000
    Changeling  ,2008,R,141," Biography, Crime, Drama            ",7.7,63,    Clint Eastwood  ,      Angelina Jolie,   Colm Feore,   Amy Ryan,   Gattlin Griffith  ,240496,35740000
    The Girl Who Leapt Through Time  ,2006,TV-PG,98," Animation, Adventure, Comedy            ",7.7,0,    Mamoru Hosoda  ,      Riisa Naka,   Takuya Ishida,   Mitsutaka Itakura,   Ayami Kakiuchi  ,60864,0
    Death Note  ,2006,Not Rated,126," Crime, Drama, Fantasy            ",7.7,0,    Shsuke Kaneko  ,         Tatsuya Fujiwara,  Ken    ichi Matsuyama,     Asaka Seto,     Y Kashii    ,28765,0
    Zodiac  ,2007,R,157," Crime, Drama, Mystery            ",7.7,78,    David Fincher  ,      Jake Gyllenhaal,   Ro ert Downey Jr.,   Mark Ruffalo,   Anthony Edwards  ,471873,33080000
    The Bourne Supremacy  ,2004,PG-13,108," Action, Mystery, Thriller            ",7.7,73,    Paul Greengrass  ,      Matt Damon,   Franka Potente,   Joan Allen,   Brian Cox  ,436866,176240000
    Harry Potter and the Go let of Fire  ,2005,PG-13,157," Adventure, Family, Fantasy            ",7.7,81,    Mike Newell  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Eric Sykes  ,553207,290010000
