title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Boy in the Striped Pajamas  ,2008,PG-13,94," Drama, History, War            ",7.8,0,    Mark Herman  ,         Asa Butterfield,     David Thewlis,     Rupert Friend,  Zac Mattoon O    Brien ,192219,9030000
    Atonement  ,2007,R,123," Drama, Mystery, Romance            ",7.8,85,    Joe Wright  ,      Keira Knightley,   James McAvoy,   Brenda Blethyn,   Saoirse Ronan  ,253640,50930000
    Joint Security Area  ,2000,Not Rated,110," Action, Drama, Thriller            ",7.8,0,    Chan-wook Park  ,      Lee Yeong-ae,   Lee Byung-Hun,   Kang-ho Song,   Kim Tae-Woo  ,26830,0
    Beasts of No Nation  ,2015,Not Rated,137," Drama, War            ",7.7,79,    Cary Joji Fukunaga  ,      A raham Attah,   Emmanuel Affadzi,   Ricky Adelayitor,   Andrew Adote  ,74604,80000
    Joyeux Noel  ,2005,PG-13,116," Drama, History, Music            ",7.7,70,    Christian Carion  ,      Diane Kruger,   Benno Frmann,   Guillaume Canet,   Natalie Dessay  ,28104,1050000
    Black Book  ,2006,R,145," Drama, Thriller, War            ",7.7,71,    Paul Verhoeven  ,      Carice van Houten,   Se astian Koch,   Thom Hoffman,   Halina Reijn  ,72942,4400000
    Black Hawk Down  ,2001,R,144," Drama, History, War            ",7.7,74,    Ridley Scott  ,      Josh Hartnett,   Ewan McGregor,   Tom Sizemore,   Eric Bana  ,366142,108640000
    Fury  ,2014,R,134," Action, Drama, War            ",7.6,64,    David Ayer  ,      Brad Pitt,   Shia LaBeouf,   Logan Lerman,   Michael Pea  ,430636,85820000
    Les Misra les  ,2012,PG-13,158," Drama, History, Musical            ",7.6,63,    Tom Hooper  ,      Hugh Jackman,   Russell Crowe,   Anne Hathaway,   Amanda Seyfried  ,310607,148810000
    The Flowers of War  ,2011,R,146," Drama, History, Romance            ",7.6,0,    Yimou Zhang  ,      Christian Bale,   Ni Ni,   Xinyi Zhang,   Tianyuan Huang  ,49942,10000
    The Book Thief  ,2013,PG-13,131," Drama, War            ",7.6,0,    Brian Percival  ,      Sophie Nlisse,   Geoffrey Rush,   Emily Watson,   Ben Schnetzer  ,128015,21490000
