title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Legend of the Guardians: The Owls of Ga' Hoole  ,2010,PG,97," Animation, Action, Adventure            ",6.9,0,    Zack Snyder  ,      Jim Sturgess,   Hugo Weaving,   David Wenham,   Emily Barclay  ,78258,55680000
    Kill the Messenger  ,2014,R,112," Biography, Crime, Drama            ",6.9,0,    Michael Cuesta  ,      Jeremy Renner,   Ro ert Patrick,   Jena Sims,   Ro ert Pralgo  ,44751,2450000
    Triangle  ,2009,R,99," Fantasy, Mystery, Sci-Fi            ",6.9,0,    Christopher Smith  ,      Melissa George,   Joshua McIvor,   Jack Taylor,   Michael Dorman  ,104106,0
    The Book of Eli  ,2010,R,118," Action, Adventure, Drama            ",6.9,0,    Al ert Hughes   ,       Denzel Washington,   Mila Kunis,   Ray Stevenson,   Gary Oldman    ,295529,94840000
    Ocean' s Thirteen  ,2007,PG-13,122," Action, Crime, Thriller            ",6.9,62,    Steven Soder ergh  ,      George Clooney,   Brad Pitt,   Matt Damon,   Michael Mantell  ,323312,117150000
    Crank  ,2006,R,88," Action, Crime, Thriller            ",6.9,0,    Mark Neveldine   ,       Jason Statham,   Amy Smart,   Carlos Sanz,   Jose Pa lo Cantillo    ,235220,27830000
    Inland Empire  ,2006,R,180," Drama, Fantasy, Mystery            ",6.9,73,    David Lynch  ,      Karolina Gruszka,   Krzysztof Majchrzak,   Grace Za riskie,   Laura Dern  ,53840,750000
    Harsh Times  ,2005,R,116," Action, Crime, Drama            ",6.9,0,    David Ayer  ,      Christian Bale,   Freddy Rodrguez,   Eva Longoria,   Chaka Forman  ,63283,3340000
    Alpha Dog  ,2006,R,122," Biography, Crime, Drama            ",6.9,0,    Nick Cassavetes  ,      Emile Hirsch,   Justin Tim erlake,   Anton Yelchin,   Bruce Willis  ,99531,15230000
    The Stanford Prison Experiment  ,2015,R,122," Biography, Drama, History            ",6.9,67,    Kyle Patrick Alvarez  ,      Ezra Miller,   Tye Sheridan,   Billy Crudup,   Olivia Thirl y  ,37927,640000
    Primer  ,2004,PG-13,77," Drama, Sci-Fi, Thriller            ",6.9,68,    Shane Carruth  ,      Shane Carruth,   David Sullivan,   Casey Gooden,   Anand Upadhyaya  ,99212,420000
    National Treasure  ,2004,PG,131," Action, Adventure, Mystery            ",6.9,0,    Jon Turteltau   ,      Nicolas Cage,   Diane Kruger,   Justin Bartha,   Sean Bean  ,305950,173010000
    Syriana  ,2005,R,128," Drama, Thriller            ",6.9,76,    Stephen Gaghan  ,      George Clooney,   Matt Damon,   Amanda Peet,   Kayvan Novak  ,126196,50820000
    The Assassination of Richard Nixon  ,2004,R,95," Biography, Crime, Drama            ",6.9,63,    Niels Mueller  ,      Sean Penn,   Naomi Watts,   Don Cheadle,   Jack Thompson  ,25182,700000
