title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Toy Story 4  ,2019,G,100," Animation, Adventure, Comedy            ",7.8,84,    Josh Cooley  ,      Tom Hanks,   Tim Allen,   Annie Potts,   Tony Hale  ,207079,434040000
    Moonrise Kingdom  ,2012,PG-13,94," Comedy, Drama, Romance            ",7.8,84,    Wes Anderson  ,      Jared Gilman,   Kara Hayward,   Bruce Willis,   Bill Murray  ,321263,45510000
    The Big Short  ,2015,R,130," Biography, Comedy, Drama            ",7.8,81,    Adam McKay  ,      Christian Bale,   Steve Carell,   Ryan Gosling,   Brad Pitt  ,369741,70260000
    Another Round  ,2020,Not Rated,117," Comedy, Drama            ",7.8,81,    Thomas Vinter erg  ,      Mads Mikkelsen,   Thomas Bo Larsen,   Magnus Millang,   Lars Ranthe  ,46769,0
    Little Miss Sunshine  ,2006,R,101," Comedy, Drama            ",7.8,80,    Jonathan Dayton   ,       Steve Carell,   Toni Collette,   Greg Kinnear,   A igail Breslin    ,442380,59890000
    Hot Fuzz  ,2007,R,121," Action, Comedy, Mystery            ",7.8,81,    Edgar Wright  ,      Simon Pegg,   Nick Frost,   Martin Freeman,   Bill Nighy  ,466146,23640000
    Adam' s Apples  ,2005,R,94," Comedy, Crime, Drama            ",7.8,0,    Anders Thomas Jensen  ,      Ulrich Thomsen,   Mads Mikkelsen,   Nicolas Bro,   Paprika Steen  ,46054,0
    Tokyo Godfathers  ,2003,PG-13,92," Animation, Adventure, Comedy            ",7.8,73,    Satoshi Kon   ,       Tru Emori,   Yoshiaki Umegaki,   Aya Okamoto,   Shz zuka    ,32072,130000
    The Triplets of Belleville  ,2003,PG-13,80," Animation, Comedy, Drama            ",7.8,91,    Sylvain Chomet  ,      Michle Caucheteux,   Jean-Claude Donda,   Michel Ro in,   Monica Viegas  ,50800,7000000
    Shrek  ,2001,PG,90," Animation, Adventure, Comedy            ",7.8,84,    Andrew Adamson   ,       Mike Myers,   Eddie Murphy,   Cameron Diaz,   John Lithgow    ,617325,267670000
    Sanju  ,2018,TV-MA,155," Biography, Comedy, Drama            ",7.7,0,    Rajkumar Hirani  ,      Ran ir Kapoor,   Paresh Rawal,   Manisha Koirala,   Vicky Kaushal  ,47861,7910000
    Deadpool 2  ,2018,R,119," Action, Adventure, Comedy            ",7.7,66,    David Leitch  ,      Ryan Reynolds,   Josh Brolin,   Morena Baccarin,   Julian Dennison  ,485848,324590000
    Mr. Church  ,2016,PG-13,104," Comedy, Drama            ",7.7,0,    Bruce Beresford  ,      Eddie Murphy,   Britt Ro ertson,   Natascha McElhone,   Xavier Samuel  ,25996,690000
    A Man Called Ove  ,2015,PG-13,116," Comedy, Drama, Romance            ",7.7,70,    Hannes Holm  ,      Rolf Lassgrd,   Bahar Pars,   Filip Berg,   Ida Engvoll  ,48092,3360000
    What We Do in the Shadows  ,2014,R,86," Comedy, Horror            ",7.7,76,    Jemaine Clement   ,       Jemaine Clement,   Taika Waititi,   Cori Gonzalez-Macuer,   Jonny Brugh    ,159116,3330000
    Kingsman: The Secret Service  ,2014,R,129," Action, Adventure, Comedy            ",7.7,0,    Matthew Vaughn  ,      Colin Firth,   Taron Egerton,   Samuel L. Jackson,   Michael Caine  ,594171,128260000
    Me and Earl and the Dying Girl  ,2015,PG-13,105," Comedy, Drama            ",7.7,74,    Alfonso Gomez-Rejon  ,      Thomas Mann,   RJ Cyler,   Olivia Cooke,   Nick Offerman  ,124063,6740000
    Birdman or (The Unexpected Virtue of Ignorance)  ,2014,R,119," Comedy, Drama            ",7.7,87,    Alejandro G. Irritu  ,      Michael Keaton,   Zach Galifianakis,   Edward Norton,   Andrea Rise orough  ,584193,42340000
    Ne raska  ,2013,R,115," Adventure, Comedy, Drama            ",7.7,87,    Alexander Payne  ,      Bruce Dern,   Will Forte,   June Squi  ,   Bo  Odenkirk  ,112836,17650000
    Wreck-It Ralph  ,2012,PG,101," Animation, Adventure, Comedy            ",7.7,72,    Rich Moore  ,      John C. Reilly,   Jack McBrayer,   Jane Lynch,   Sarah Silverman  ,382719,189420000
    Midnight in Paris  ,2011,PG-13,94," Comedy, Fantasy, Romance            ",7.7,81,    Woody Allen  ,      Owen Wilson,   Rachel McAdams,   Kathy Bates,   Kurt Fuller  ,390676,56820000
    The Lego Movie  ,2014,PG,100," Animation, Action, Adventure            ",7.7,83,    Christopher Miller   ,       Chris Pratt,   Will Ferrell,   Eliza eth Banks,   Will Arnett    ,325375,257760000
    The Hangover  ,2009,R,100, Comedy            ,7.7,73,    Todd Phillips  ,      Zach Galifianakis,   Bradley Cooper,   Justin Bartha,   Ed Helms  ,720801,277320000
    Silver Linings Play ook  ,2012,R,122," Comedy, Drama, Romance            ",7.7,81,    David O. Russell  ,      Bradley Cooper,   Jennifer Lawrence,   Ro ert De Niro,   Jacki Weaver  ,665463,132090000
    500 Days of Summer  ,2009,PG-13,95," Comedy, Drama, Romance            ",7.7,76,    Marc We    ,      Zooey Deschanel,   Joseph Gordon-Levitt,   Geoffrey Arend,   Chlo Grace Moretz  ,474825,32390000
    Ponyo  ,2008,G,101," Animation, Adventure, Comedy            ",7.7,86,    Hayao Miyazaki  ,      Cate Blanchett,   Matt Damon,   Liam Neeson,   Tomoko Yamaguchi  ,126888,15090000
    Flipped  ,2010,PG,90," Comedy, Drama, Romance            ",7.7,0,    Ro  Reiner  ,      Madeline Carroll,   Callan McAuliffe,   Re ecca De Mornay,   Anthony Edwards  ,81936,1750000
    The Girl Who Leapt Through Time  ,2006,TV-PG,98," Animation, Adventure, Comedy            ",7.7,0,    Mamoru Hosoda  ,      Riisa Naka,   Takuya Ishida,   Mitsutaka Itakura,   Ayami Kakiuchi  ,60861,0
    Tangled  ,2010,PG,100," Animation, Adventure, Comedy            ",7.7,71,    Nathan Greno   ,       Mandy Moore,   Zachary Levi,   Donna Murphy,   Ron Perlman    ,408688,200820000
    Kung Fu Hustle  ,2004,R,99," Action, Comedy, Fantasy            ",7.7,78,    Stephen Chow  ,      Stephen Chow,   Wah Yuen,   Qiu Yuen,   Siu-Lung Leung  ,128059,17110000
