title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Very Bad Things,1998),R,100," Comedy, Crime, Thriller            ",6.4,0,Peter Berg,"['Christian Slater, ', 'Daniel Stern, ', 'Cameron Diaz, ', 'Jon Favreau', '']",45119,$9.80M
A Life Less Ordinary,1997),R,103," Comedy, Crime, Fantasy            ",6.4,0,Danny Boyle,"['Cameron Diaz, ', 'Ewan McGregor, ', 'Holly Hunter, ', 'Delroy Lindo', '']",34387,$4.27M
In & Out,1997),PG-13,90," Comedy, Romance            ",6.4,70        ,Frank Oz,"['Kevin Kline, ', 'Joan Cusack, ', 'Tom Selleck, ', 'Matt Dillon', '']",38888,$63.86M
Tin Cup,1996),R,135," Comedy, Drama, Romance            ",6.4,0,Ron Shelton,"['Kevin Costner, ', 'Rene Russo, ', 'Don Johnson, ', 'Cheech Marin', '']",46392,$53.85M
The First Wives Club,1996),PG,103, Comedy            ,6.4,0,Hugh Wilson,"['Goldie Hawn, ', 'Bette Midler, ', 'Diane Keaton, ', 'Maggie Smith', '']",44084,$105.49M
Billy Madison,1995),PG-13,89, Comedy            ,6.4,0,Tamra Davis,"['Adam Sandler, ', 'Darren McGavin, ', 'Bridgette Wilson-Sampras, ', 'Bradley Whitford', '']",132269,$25.59M
Ace Ventura: When Nature Calls,1995),PG-13,90," Adventure, Comedy, Crime            ",6.4,0,Steve Oedekerk,"['Jim Carrey, ', 'Ian McNeice, ', 'Simon Callow, ', 'Maynard Eziashi', '']",203380,$108.39M
Little Giants,1994),PG,107," Comedy, Family, Sport            ",6.4,0,Duwayne Dunham,"['Rick Moranis, ', ""Ed O'Neill, "", 'Shawna Waldron, ', 'Devon Sawa', '']",26266,$19.29M
It Could Happen to You,1994),PG,101," Comedy, Drama, Romance            ",6.4,64        ,Andrew Bergman,"['Nicolas Cage, ', 'Bridget Fonda, ', 'Rosie Perez, ', 'Wendell Pierce', '']",36233,$37.80M
The Three Musketeers,1993),PG,105," Action, Adventure, Comedy            ",6.4,0,Stephen Herek,"['Charlie Sheen, ', 'Kiefer Sutherland, ', ""Chris O'Donnell, "", 'Oliver Platt', '']",50979,$53.90M
