title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
All Quiet on the Western Front,1930),Passed,152," Drama, War            ",8.0,91        ,Lewis Milestone,"['Lew Ayres, ', 'Louis Wolheim, ', 'John Wray, ', 'Arnold Lucy', '']",57569,$3.27M
Battleship Potemkin,1925),Not Rated,66," Drama, History, Thriller            ",8.0,97        ,Sergei M. Eisenstein,"['Aleksandr Antonov, ', 'Vladimir Barskiy, ', 'Grigoriy Aleksandrov, ', 'Ivan Bobrov', '']",53520,$0.05M
Jojo Rabbit,2019),PG-13,108," Comedy, Drama, War            ",7.9,0,Taika Waititi,"['Roman Griffin Davis, ', 'Thomasin McKenzie, ', 'Scarlett Johansson, ', 'Taika Waititi', '']",306878,$0.35M
Letters from Iwo Jima,2006),R,141," Action, Adventure, Drama            ",7.9,89        ,Clint Eastwood,"['Ken Watanabe, ', 'Kazunari Ninomiya, ', 'Tsuyoshi Ihara, ', 'Ryô Kase', '']",154567,$13.76M
No Man's Land,I) (2001),R,98," Comedy, Drama, War            ",7.9,84        ,Danis Tanovic,"['Branko Djuric, ', 'Rene Bitorajac, ', 'Filip Sovagovic, ', 'Georges Siatidis', '']",44906,$1.06M
Patton,1970),GP,172," Biography, Drama, War            ",7.9,91        ,Franklin J. Schaffner,"['George C. Scott, ', 'Karl Malden, ', 'Stephen Young, ', 'Michael Strong', '']",94146,$61.70M
Spartacus,1960),PG-13,197," Adventure, Biography, Drama            ",7.9,87        ,Stanley Kubrick,"['Kirk Douglas, ', 'Laurence Olivier, ', 'Jean Simmons, ', 'Charles Laughton', '']",125007,$30.00M
Dunkirk,2017),PG-13,106," Action, Drama, History            ",7.8,94        ,Christopher Nolan,"['Fionn Whitehead, ', 'Barry Keoghan, ', 'Mark Rylance, ', 'Tom Hardy', '']",562406,$188.37M
Land of Mine,2015),R,100," Drama, History, War            ",7.8,75        ,Martin Zandvliet,"['Roland Møller, ', 'Louis Hofmann, ', 'Joel Basman, ', 'Mikkel Boe Følsgaard', '']",36056,$0.44M
The Wind Rises,2013),PG-13,126," Animation, Biography, Drama            ",7.8,83        ,Hayao Miyazaki,"['Hideaki Anno, ', 'Hidetoshi Nishijima, ', 'Miori Takimoto, ', 'Masahiko Nishimura', '']",74713,$5.21M
The Boy in the Striped Pajamas,2008),PG-13,94," Drama, History, War            ",7.8,0,Mark Herman,"['Asa Butterfield, ', 'David Thewlis, ', 'Rupert Friend, ', ""Zac Mattoon O'Brien"", '']",192219,$9.03M
Atonement,2007),R,123," Drama, Mystery, Romance            ",7.8,85        ,Joe Wright,"['Keira Knightley, ', 'James McAvoy, ', 'Brenda Blethyn, ', 'Saoirse Ronan', '']",253640,$50.93M
Joint Security Area,2000),Not Rated,110," Action, Drama, Thriller            ",7.8,0,Chan-wook Park,"['Lee Yeong-ae, ', 'Lee Byung-Hun, ', 'Kang-ho Song, ', 'Kim Tae-Woo', '']",26830,0
Glory,1989),R,122," Biography, Drama, History            ",7.8,78        ,Edward Zwick,"['Matthew Broderick, ', 'Denzel Washington, ', 'Cary Elwes, ', 'Morgan Freeman', '']",124066,$26.83M
The Killing Fields,1984),R,141," Biography, Drama, History            ",7.8,76        ,Roland Joffé,"['Sam Waterston, ', 'Haing S. Ngor, ', 'John Malkovich, ', 'Julian Sands', '']",51941,$34.70M
The Man Who Would Be King,1975),PG,129," Adventure, History, War            ",7.8,91        ,John Huston,"['Sean Connery, ', 'Michael Caine, ', 'Christopher Plummer, ', 'Saeed Jaffrey', '']",45323,0
The Longest Day,1962),G,178," Action, Drama, History            ",7.8,75        ,"Ken Annakin, ","['Bernhard Wicki, ', 'Darryl F. Zanuck', '| ', '    Stars:', 'John Wayne, ']",52345,$39.10M
To Have and Have Not,1944),Passed,100," Adventure, Comedy, Film-Noir            ",7.8,0,Howard Hawks,"['Humphrey Bogart, ', 'Lauren Bacall, ', 'Walter Brennan, ', 'Dolores Moran', '']",31291,0
Duck Soup,1933),Not Rated,69," Comedy, Musical, War            ",7.8,93        ,Leo McCarey,"['Groucho Marx, ', 'Harpo Marx, ', 'Chico Marx, ', 'Zeppo Marx', '']",55801,0
Beasts of No Nation,2015),Not Rated,137," Drama, War            ",7.7,79        ,Cary Joji Fukunaga,"['Abraham Attah, ', 'Emmanuel Affadzi, ', 'Ricky Adelayitor, ', 'Andrew Adote', '']",74604,$0.08M
Joyeux Noel,2005),PG-13,116," Drama, History, Music            ",7.7,70        ,Christian Carion,"['Diane Kruger, ', 'Benno Fürmann, ', 'Guillaume Canet, ', 'Natalie Dessay', '']",28104,$1.05M
Black Book,2006),R,145," Drama, Thriller, War            ",7.7,71        ,Paul Verhoeven,"['Carice van Houten, ', 'Sebastian Koch, ', 'Thom Hoffman, ', 'Halina Reijn', '']",72942,$4.40M
Black Hawk Down,2001),R,144," Drama, History, War            ",7.7,74        ,Ridley Scott,"['Josh Hartnett, ', 'Ewan McGregor, ', 'Tom Sizemore, ', 'Eric Bana', '']",366142,$108.64M
The Last of the Mohicans,1992),R,112," Action, Adventure, Drama            ",7.7,76        ,Michael Mann,"['Daniel Day-Lewis, ', 'Madeleine Stowe, ', 'Russell Means, ', 'Eric Schweig', '']",152105,$75.51M
Empire of the Sun,1987),PG,153," Action, Drama, History            ",7.7,62        ,Steven Spielberg,"['Christian Bale, ', 'John Malkovich, ', 'Miranda Richardson, ', 'Nigel Havers', '']",116603,$22.24M
Love and Death,1975),PG,85," Comedy, War            ",7.7,89        ,Woody Allen,"['Woody Allen, ', 'Diane Keaton, ', 'Georges Adet, ', 'Frank Adu', '']",36280,0
Where Eagles Dare,1968),M,158," Action, Adventure, War            ",7.7,63        ,Brian G. Hutton,"['Richard Burton, ', 'Clint Eastwood, ', 'Mary Ure, ', 'Patrick Wymark', '']",52225,0
The Dirty Dozen,1967),Not Rated,150," Action, Adventure, War            ",7.7,73        ,Robert Aldrich,"['Lee Marvin, ', 'Ernest Borgnine, ', 'Charles Bronson, ', 'John Cassavetes', '']",67523,$45.30M
Zulu,1964),Not Rated,138," Drama, History, War            ",7.7,77        ,Cy Endfield,"['Stanley Baker, ', 'Jack Hawkins, ', 'Ulla Jacobsson, ', 'James Booth', '']",36273,0
The African Queen,1951),PG,105," Adventure, Drama, Romance            ",7.7,91        ,John Huston,"['Humphrey Bogart, ', 'Katharine Hepburn, ', 'Robert Morley, ', 'Peter Bull', '']",71924,$0.54M
Fury,2014),R,134," Action, Drama, War            ",7.6,64        ,David Ayer,"['Brad Pitt, ', 'Shia LaBeouf, ', 'Logan Lerman, ', 'Michael Peña', '']",430636,$85.82M
Les Misérables,2012),PG-13,158," Drama, History, Musical            ",7.6,63        ,Tom Hooper,"['Hugh Jackman, ', 'Russell Crowe, ', 'Anne Hathaway, ', 'Amanda Seyfried', '']",310607,$148.81M
The Flowers of War,2011),R,146," Drama, History, Romance            ",7.6,0,Yimou Zhang,"['Christian Bale, ', 'Ni Ni, ', 'Xinyi Zhang, ', 'Tianyuan Huang', '']",49942,$0.01M
The Book Thief,2013),PG-13,131," Drama, War            ",7.6,0,Brian Percival,"['Sophie Nélisse, ', 'Geoffrey Rush, ', 'Emily Watson, ', 'Ben Schnetzer', '']",128015,$21.49M
The Counterfeiters,2007),R,99," Crime, Drama, History            ",7.6,78        ,Stefan Ruzowitzky,"['Karl Markovics, ', 'August Diehl, ', 'Devid Striesow, ', 'Martin Brambach', '']",43393,$5.48M
Jodhaa Akbar,2008),Not Rated,213," Action, Drama, History            ",7.6,69        ,Ashutosh Gowariker,"['Hrithik Roshan, ', 'Aishwarya Rai Bachchan, ', 'Sonu Sood, ', 'Poonam Sinha', '']",30094,$3.44M
