title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Testament of Youth,2014),PG-13,129," Biography, Drama, History            ",7.3,76        ,James Kent,"['Alicia Vikander, ', 'Kit Harington, ', 'Taron Egerton, ', 'Dominic West', '']",26838,$1.82M
First Man,2018),PG-13,141," Biography, Drama, History            ",7.3,84        ,Damien Chazelle,"['Ryan Gosling, ', 'Claire Foy, ', 'Jason Clarke, ', 'Kyle Chandler', '']",171028,$44.94M
Invictus,2009),PG-13,134," Biography, Drama, History            ",7.3,74        ,Clint Eastwood,"['Morgan Freeman, ', 'Matt Damon, ', 'Tony Kgoroge, ', 'Patrick Mofokeng', '']",150768,$37.49M
Max Manus: Man of War,2008),Not Rated,118," Action, Biography, Drama            ",7.3,0,"Joachim Rønning, ","['    Stars:', 'Aksel Hennie, ', 'Agnes Kittelsen, ', 'Nicolai Cleve Broch, ', 'Ken Duken']",26692,0
The Way Back,I) (2010),PG-13,133," Adventure, Drama, History            ",7.3,66        ,Peter Weir,"['Jim Sturgess, ', 'Ed Harris, ', 'Colin Farrell, ', 'Dragos Bucur', '']",111087,$2.70M
The Young Victoria,2009),PG,105," Biography, Drama, History            ",7.3,64        ,Jean-Marc Vallée,"['Emily Blunt, ', 'Rupert Friend, ', 'Paul Bettany, ', 'Miranda Richardson', '']",58225,$11.00M
Across the Universe,2007),PG-13,133," Drama, Fantasy, History            ",7.3,0,Julie Taymor,"['Evan Rachel Wood, ', 'Jim Sturgess, ', 'Joe Anderson, ', 'Dana Fuchs', '']",106375,$24.34M
Lincoln,2012),PG-13,150," Biography, Drama, History            ",7.3,86        ,Steven Spielberg,"['Daniel Day-Lewis, ', 'Sally Field, ', 'David Strathairn, ', 'Joseph Gordon-Levitt', '']",246273,$182.21M
The Queen,2006),PG-13,103," Biography, Drama, History            ",7.3,91        ,Stephen Frears,"['Helen Mirren, ', 'Michael Sheen, ', 'James Cromwell, ', 'Alex Jennings', '']",104673,$56.44M
Capote,2005),R,114," Biography, Crime, Drama            ",7.3,88        ,Bennett Miller,"['Philip Seymour Hoffman, ', 'Clifton Collins Jr., ', 'Catherine Keener, ', 'Allie Mickelson', '']",126082,$28.75M
Troy,2004),R,163," Drama, History            ",7.3,0,Wolfgang Petersen,"['Brad Pitt, ', 'Eric Bana, ', 'Orlando Bloom, ', 'Julian Glover', '']",491348,$133.38M
Seabiscuit,2003),PG-13,140," Drama, History, Sport            ",7.3,72        ,Gary Ross,"['Tobey Maguire, ', 'Jeff Bridges, ', 'Elizabeth Banks, ', 'Chris Cooper', '']",67167,$120.28M
Thirteen Days,2000),PG-13,145," Drama, History, Thriller            ",7.3,67        ,Roger Donaldson,"['Kevin Costner, ', 'Bruce Greenwood, ', 'Shawn Driscoll, ', 'Drake Cook', '']",54294,$34.59M
Amistad,1997),R,155," Biography, Drama, History            ",7.3,63        ,Steven Spielberg,"['Djimon Hounsou, ', 'Matthew McConaughey, ', 'Anthony Hopkins, ', 'Morgan Freeman', '']",71863,$44.18M
The Report,I) (2019),R,119," Biography, Crime, Drama            ",7.2,66        ,Scott Z. Burns,"['Adam Driver, ', 'Annette Bening, ', 'Jon Hamm, ', 'Ted Levine', '']",34696,0
