title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Mulan,1998),G,88," Animation, Adventure, Family            ",7.6,71        ,"Tony Bancroft, ","['    Stars:', 'Ming-Na Wen, ', 'Eddie Murphy, ', 'BD Wong, ', 'Miguel Ferrer']",258898,$120.62M
Only Yesterday,1991),PG,118," Animation, Drama, Romance            ",7.6,90        ,Isao Takahata,"['Miki Imai, ', 'Toshirô Yanagiba, ', 'Yoko Honna, ', 'Mayumi Izuka', '']",27554,$0.45M
The Little Mermaid,1989),G,83," Animation, Family, Fantasy            ",7.6,88        ,"Ron Clements, ","['    Stars:', 'Jodi Benson, ', 'Samuel E. Wright, ', 'Rene Auberjonois, ', 'Christopher Daniel Barnes']",239348,$111.54M
The Secret of NIMH,1982),G,82," Animation, Adventure, Drama            ",7.6,76        ,Don Bluth,"['Elizabeth Hartman, ', 'Derek Jacobi, ', 'Dom DeLuise, ', 'Arthur Malet', '']",36478,$10.14M
Watership Down,1978),PG,91," Animation, Adventure, Drama            ",7.6,64        ,"Martin Rosen, ","['    Stars:', 'John Hurt, ', 'Richard Briers, ', 'Ralph Richardson, ', 'Michael Graham Cox']",33842,0
The Many Adventures of Winnie the Pooh,1977),G,74," Animation, Adventure, Comedy            ",7.6,0,"John Lounsbery, ","['| ', '    Stars:', 'Sebastian Cabot, ', 'Junius Matthews, ', 'Barbara Luddy, ']",32909,0
Robin Hood,1973),G,83," Animation, Adventure, Comedy            ",7.6,0,"Wolfgang Reitherman, ","['    Stars:', 'Brian Bedford, ', 'Phil Harris, ', 'Roger Miller, ', 'Peter Ustinov']",116599,$32.06M
The Jungle Book,1967),G,78," Animation, Adventure, Family            ",7.6,65        ,Wolfgang Reitherman,"['Phil Harris, ', 'Sebastian Cabot, ', 'Louis Prima, ', 'Bruce Reitherman', '']",167470,$141.84M
Snow White and the Seven Dwarfs,1937),Approved,83," Animation, Family, Fantasy            ",7.6,95        ,"William Cottrell, ","['Larry Morey, ', 'Perce Pearce, ', 'Ben Sharpsteen', '| ', '    Stars:']",182743,$184.93M
Raya and the Last Dragon,2021),PG,107," Animation, Action, Adventure            ",7.5,75        ,"Don Hall, ","['John Ripa', '| ', '    Stars:', 'Kelly Marie Tran, ', 'Awkwafina, ']",26006,0
The Red Turtle,2016),PG,80," Animation, Family, Fantasy            ",7.5,86        ,Michael Dudok de Wit,"['Emmanuel Garijo, ', 'Tom Hudson, ', 'Baptiste Goy, ', 'Axel Devillers', '']",31732,$0.92M
The Garden of Words,2013),TV-14,46," Animation, Drama, Romance            ",7.5,0,Makoto Shinkai,"['Miyu Irino, ', 'Kana Hanazawa, ', 'Fumi Hirano, ', 'Gou Maeda', '']",35666,0
How to Train Your Dragon: The Hidden World,2019),PG,104," Animation, Action, Adventure            ",7.5,71        ,Dean DeBlois,"['Jay Baruchel, ', 'America Ferrera, ', 'F. Murray Abraham, ', 'Cate Blanchett', '']",106424,$160.80M
Summer Wars,2009),PG,114," Animation, Action, Adventure            ",7.5,63        ,Mamoru Hosoda,"['Ryûnosuke Kamiki, ', 'Nanami Sakuraba, ', 'Mitsuki Tanimura, ', 'Takahiro Yokokawa', '']",26460,$0.08M
The Illusionist,2010),PG,80," Animation, Drama, Fantasy            ",7.5,82        ,Sylvain Chomet,"['Jean-Claude Donda, ', 'Eilidh Rankin, ', 'Duncan MacNeil, ', 'Raymond Mearns', '']",33810,$2.23M
Kung Fu Panda,2008),PG,92," Animation, Action, Adventure            ",7.5,74        ,"Mark Osborne, ","['    Stars:', 'Jack Black, ', 'Ian McShane, ', 'Angelina Jolie, ', 'Dustin Hoffman']",422670,$215.43M
Ghost in the Shell 2: Innocence,2004),PG-13,100," Animation, Action, Drama            ",7.5,66        ,Mamoru Oshii,"['Akio Ôtsuka, ', 'Atsuko Tanaka, ', 'Tamio Ôki, ', 'Kôichi Yamadera', '']",36411,$1.04M
Ice Age,2002),PG,81," Animation, Adventure, Comedy            ",7.5,0,"Chris Wedge, ","['    Stars:', 'Denis Leary, ', 'John Leguizamo, ', 'Ray Romano, ', 'Goran Visnjic']",444809,$176.39M
Onward,I) (2020),PG,102," Animation, Adventure, Comedy            ",7.4,61        ,Dan Scanlon,"['Tom Holland, ', 'Chris Pratt, ', 'Julia Louis-Dreyfus, ', 'Octavia Spencer', '']",105678,$61.56M
Frozen,I) (2013),PG,102," Animation, Adventure, Comedy            ",7.4,75        ,"Chris Buck, ","['    Stars:', 'Kristen Bell, ', 'Idina Menzel, ', 'Jonathan Groff, ', 'Josh Gad']",575880,$400.74M
From Up on Poppy Hill,2011),PG,91," Animation, Drama, Family            ",7.4,71        ,Gorô Miyazaki,"['Sarah Bolger, ', 'Chris Noth, ', 'Anton Yelchin, ', 'Christina Hendricks', '']",36339,$1.00M
Wallace & Gromit: The Curse of the Were-Rabbit,2005),G,85," Animation, Adventure, Comedy            ",7.4,87        ,"Steve Box, ","['    Stars:', 'Peter Sallis, ', 'Helena Bonham Carter, ', 'Ralph Fiennes, ', 'Peter Kay']",126275,$56.11M
The Emperor's New Groove,2000),G,78," Animation, Adventure, Comedy            ",7.4,70        ,Mark Dindal,"['David Spade, ', 'John Goodman, ', 'Eartha Kitt, ', 'Patrick Warburton', '']",182090,$89.30M
The Land Before Time,1988),G,69," Animation, Adventure, Drama            ",7.4,66        ,Don Bluth,"['Pat Hingle, ', 'Gabriel Damon, ', 'Judith Barsi, ', 'Helen Shaver', '']",80404,$48.09M
Alice in Wonderland,1951),G,75," Animation, Adventure, Family            ",7.4,68        ,"Clyde Geronimi, ","['Jack Kinney', '| ', '    Stars:', 'Kathryn Beaumont, ', 'Ed Wynn, ']",129912,$1.07M
Pinocchio,1940),G,88," Animation, Comedy, Family            ",7.4,99        ,"Norman Ferguson, ","['Jack Kinney, ', 'Hamilton Luske, ', 'Bill Roberts, ', 'Ben Sharpsteen', '| ']",132355,$84.25M
The Lego Batman Movie,2017),PG,104," Animation, Action, Comedy            ",7.3,75        ,Chris McKay,"['Will Arnett, ', 'Michael Cera, ', 'Rosario Dawson, ', 'Ralph Fiennes', '']",132086,$175.75M
Shaun the Sheep Movie,2015),PG,85," Animation, Adventure, Comedy            ",7.3,81        ,"Mark Burton, ","['    Stars:', 'Justin Fletcher, ', 'John Sparkes, ', 'Omid Djalili, ', 'Richard Webber']",37523,$19.38M
Anomalisa,2015),R,90," Animation, Comedy, Drama            ",7.3,88        ,"Duke Johnson, ","['    Stars:', 'David Thewlis, ', 'Jennifer Jason Leigh, ', 'Tom Noonan', '']",66814,$3.76M
Finding Dory,2016),PG,97," Animation, Adventure, Comedy            ",7.3,77        ,"Andrew Stanton, ","['    Stars:', 'Ellen DeGeneres, ', 'Albert Brooks, ', ""Ed O'Neill, "", 'Kaitlin Olson']",243026,$486.30M
The Book of Life,2014),PG,95," Animation, Adventure, Comedy            ",7.3,67        ,Jorge R. Gutiérrez,"['Diego Luna, ', 'Zoe Saldana, ', 'Channing Tatum, ', 'Ron Perlman', '']",65211,$50.15M
Despicable Me 2,2013),PG,98," Animation, Adventure, Comedy            ",7.3,62        ,"Pierre Coffin, ","['    Stars:', 'Steve Carell, ', 'Kristen Wiig, ', 'Benjamin Bratt, ', 'Miranda Cosgrove']",371730,$368.06M
Monsters University,2013),G,104," Animation, Adventure, Comedy            ",7.3,65        ,Dan Scanlon,"['Billy Crystal, ', 'John Goodman, ', 'Steve Buscemi, ', 'Helen Mirren', '']",325103,$268.49M
Rise of the Guardians,2012),PG,97," Animation, Action, Adventure            ",7.3,0,Peter Ramsey,"['Hugh Jackman, ', 'Alec Baldwin, ', 'Isla Fisher, ', 'Chris Pine', '']",158173,$103.41M
The Adventures of Tintin: The Secret of the Unicorn,2011),PG,107," Animation, Action, Adventure            ",7.3,68        ,Steven Spielberg,"['Jamie Bell, ', 'Andy Serkis, ', 'Daniel Craig, ', 'Simon Pegg', '']",217614,$77.59M
The Simpsons Movie,2007),PG-13,87," Animation, Adventure, Comedy            ",7.3,80        ,David Silverman,"['Dan Castellaneta, ', 'Julie Kavner, ', 'Nancy Cartwright, ', 'Yeardley Smith', '']",310021,$183.14M
Corpse Bride,2005),PG,77," Animation, Drama, Family            ",7.3,83        ,"Tim Burton, ","['    Stars:', 'Johnny Depp, ', 'Helena Bonham Carter, ', 'Emily Watson, ', 'Tracey Ullman']",246892,$53.36M
Tarzan,1999),G,88," Animation, Adventure, Family            ",7.3,79        ,"Chris Buck, ","['    Stars:', 'Tony Goldwyn, ', 'Minnie Driver, ', 'Brian Blessed, ', 'Glenn Close']",205458,$171.09M
Hercules,1997),G,93," Animation, Adventure, Comedy            ",7.3,74        ,"Ron Clements, ","['    Stars:', 'Tate Donovan, ', 'Susan Egan, ', 'James Woods, ', 'Josh Keaton']",207984,$99.05M
Pom Poko,1994),PG,119," Animation, Comedy, Drama            ",7.3,77        ,Isao Takahata,"['Shinchô Kokontei, ', 'Makoto Nonomura, ', 'Yuriko Ishida, ', 'Norihei Miki', '']",25787,0
The Transformers: The Movie,1986),PG,84," Animation, Action, Adventure            ",7.3,0,Nelson Shin,"['Orson Welles, ', 'Robert Stack, ', 'Leonard Nimoy, ', 'Norman Alden', '']",37588,$5.85M
The Fox and the Hound,1981),G,83," Animation, Adventure, Drama            ",7.3,65        ,"Ted Berman, ","['David Hand, ', 'Wolfgang Reitherman', '| ', '    Stars:', 'Mickey Rooney, ']",85422,$63.46M
One Hundred and One Dalmatians,1961),G,79," Animation, Adventure, Comedy            ",7.3,83        ,"Clyde Geronimi, ","['| ', '    Stars:', 'Rod Taylor, ', 'Betty Lou Gerson, ', ""J. Pat O'Malley, ""]",154011,$144.88M
Lady and the Tramp,1955),G,76," Animation, Adventure, Comedy            ",7.3,78        ,"Clyde Geronimi, ","['Jack Cutting', '| ', '    Stars:', 'Barbara Luddy, ', 'Larry Roberts, ']",123981,$93.60M
Peter Pan,1953),G,77," Animation, Adventure, Family            ",7.3,76        ,"Clyde Geronimi, ","['Jack Kinney', '| ', '    Stars:', 'Bobby Driscoll, ', 'Kathryn Beaumont, ']",127693,$87.40M
Cinderella,1950),G,74," Animation, Family, Fantasy            ",7.3,85        ,"Clyde Geronimi, ","['| ', '    Stars:', 'Ilene Woods, ', 'James MacDonald, ', 'Eleanor Audley, ']",146801,$85.00M
Bambi,1942),G,70," Animation, Drama, Family            ",7.3,91        ,"James Algar, ","['Graham Heid, ', 'Bill Roberts, ', 'Paul Satterfield, ', 'Norman Wright, ', 'Arthur Davis, ']",132131,$102.80M
Dragon Ball Z: Battle of Gods,2013),TV-PG,85," Animation, Action, Adventure            ",7.2,0,Masahiro Hosoda,"['Masako Nozawa, ', 'Hiromi Tsuru, ', 'Ryô Horikawa, ', 'Masaharu Satô', '']",26442,$2.55M
Kung Fu Panda 2,2011),PG,90," Animation, Action, Adventure            ",7.2,67        ,Jennifer Yuh Nelson,"['Jack Black, ', 'Angelina Jolie, ', 'Jackie Chan, ', 'Dustin Hoffman', '']",255759,$165.25M
Rango,2011),PG,107," Animation, Adventure, Comedy            ",7.2,75        ,Gore Verbinski,"['Johnny Depp, ', 'Isla Fisher, ', 'Timothy Olyphant, ', 'Abigail Breslin', '']",238845,$123.48M
Paddington,2014),PG,95," Animation, Adventure, Comedy            ",7.2,77        ,Paul King,"['Hugh Bonneville, ', 'Sally Hawkins, ', 'Julie Walters, ', 'Jim Broadbent', '']",99518,$76.27M
Megamind,2010),PG,95," Animation, Action, Comedy            ",7.2,63        ,Tom McGrath,"['Will Ferrell, ', 'Jonah Hill, ', 'Brad Pitt, ', 'Tina Fey', '']",230408,$148.42M
The Croods,2013),PG,98," Animation, Adventure, Comedy            ",7.2,0,"Kirk DeMicco, ","['    Stars:', 'Nicolas Cage, ', 'Ryan Reynolds, ', 'Emma Stone, ', 'Catherine Keener']",194752,$187.17M
Final Fantasy VII: Advent Children,2005),PG-13,101," Animation, Action, Adventure            ",7.2,0,"Tetsuya Nomura, ","['    Stars:', 'Takahiro Sakurai, ', 'Ayumi Itô, ', 'Shôtarô Morikubo, ', 'Maaya Sakamoto']",55060,0
The Cat Returns,2002),G,75," Animation, Adventure, Comedy            ",7.2,70        ,Hiroyuki Morita,"['Chizuru Ikewaki, ', 'Yoshihiko Hakamada, ', 'Aki Maeda, ', 'Takayuki Yamada', '']",49832,0
Shrek 2,2004),PG,93," Animation, Adventure, Comedy            ",7.2,75        ,"Andrew Adamson, ","['| ', '    Stars:', 'Mike Myers, ', 'Eddie Murphy, ', 'Cameron Diaz, ']",422236,$436.47M
Lilo & Stitch,2002),PG,85," Animation, Adventure, Comedy            ",7.2,73        ,"Dean DeBlois, ","['    Stars:', 'Daveigh Chase, ', 'Chris Sanders, ', 'Tia Carrere, ', 'David Ogden Stiers']",169969,$145.79M
Spirit: Stallion of the Cimarron,2002),G,83," Animation, Adventure, Drama            ",7.2,0,"Kelly Asbury, ","['    Stars:', 'Matt Damon, ', 'James Cromwell, ', 'Daniel Studi, ', 'Chopper Bernet']",66244,$73.28M
Treasure Planet,2002),PG,95," Animation, Adventure, Family            ",7.2,0,"Ron Clements, ","['    Stars:', 'Joseph Gordon-Levitt, ', 'Emma Thompson, ', 'Martin Short, ', 'Roscoe Lee Browne']",103934,$38.18M
Fantasia 2000,1999),G,75," Animation, Comedy, Family            ",7.2,0,"James Algar, ","['Hendel Butoy, ', 'Francis Glebas, ', 'Eric Goldberg, ', 'Don Hahn, ', 'Pixote Hunt']",35426,$60.66M
A Bug's Life,1998),G,95," Animation, Adventure, Comedy            ",7.2,77        ,"John Lasseter, ","['    Stars:', 'Kevin Spacey, ', 'Dave Foley, ', 'Julia Louis-Dreyfus, ', 'Hayden Panettiere']",268179,$162.80M
Anastasia,1997),G,94," Animation, Adventure, Drama            ",7.2,61        ,"Don Bluth, ","['    Stars:', 'Meg Ryan, ', 'John Cusack, ', 'Christopher Lloyd, ', 'Kelsey Grammer']",112812,$58.41M
The Great Mouse Detective,1986),G,74," Animation, Adventure, Family            ",7.2,73        ,"Ron Clements, ","['John Musker', '| ', '    Stars:', 'Vincent Price, ', 'Barrie Ingham, ']",45500,$38.60M
The Sword in the Stone,1963),G,79," Animation, Adventure, Comedy            ",7.2,61        ,"Wolfgang Reitherman, ","['| ', '    Stars:', 'Rickie Sorensen, ', 'Sebastian Cabot, ', 'Karl Swenson, ']",90298,$22.18M
