title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Pelican Brief,1993),PG-13,141," Crime, Drama, Mystery            ",6.6,0,Alan J. Pakula,"['Julia Roberts, ', 'Denzel Washington, ', 'Sam Shepard, ', 'John Heard', '']",77862,$100.77M
Oscar,1991),PG,109," Comedy, Crime            ",6.6,0,John Landis,"['Sylvester Stallone, ', 'Ornella Muti, ', 'Peter Riegert, ', 'Chazz Palminteri', '']",30000,$23.56M
Outland,1981),R,109," Action, Crime, Sci-Fi            ",6.6,0,Peter Hyams,"['Sean Connery, ', 'Frances Sternhagen, ', 'Peter Boyle, ', 'James Sikking', '']",27513,$17.37M
"Roman J. Israel, Esq.",2017),PG-13,122," Crime, Drama, Thriller            ",6.5,0,Dan Gilroy,"['Denzel Washington, ', 'Colin Farrell, ', 'Carmen Ejogo, ', 'Lynda Gravatt', '']",34023,$11.96M
Under the Silver Lake,2018),R,139," Crime, Drama, Mystery            ",6.5,0,David Robert Mitchell,"['Andrew Garfield, ', 'Riley Keough, ', 'Topher Grace, ', 'Callie Hernandez', '']",34075,$0.05M
Imperium,2016),R,109," Biography, Crime, Drama            ",6.5,68        ,Daniel Ragussis,"['Daniel Radcliffe, ', 'Toni Collette, ', 'Tracy Letts, ', 'Sam Trammell', '']",42601,0
White Boy Rick,2018),R,111," Crime, Drama            ",6.5,0,Yann Demange,"['Matthew McConaughey, ', 'Richie Merritt, ', 'Bel Powley, ', 'Jennifer Jason Leigh', '']",30391,$24.01M
The Girl on the Train,2016),R,112," Crime, Drama, Mystery            ",6.5,0,Tate Taylor,"['Emily Blunt, ', 'Haley Bennett, ', 'Rebecca Ferguson, ', 'Justin Theroux', '']",171112,$75.40M
Nerve,I) (2016),PG-13,96," Adventure, Crime, Drama            ",6.5,0,"Henry Joost, ","['    Stars:', 'Emma Roberts, ', 'Dave Franco, ', 'Emily Meade, ', 'Miles Heizer']",117053,$38.58M
Murder on the Orient Express,2017),PG-13,114," Crime, Drama, Mystery            ",6.5,0,Kenneth Branagh,"['Kenneth Branagh, ', 'Penélope Cruz, ', 'Willem Dafoe, ', 'Judi Dench', '']",215657,$102.83M
Now You See Me 2,2016),PG-13,129," Action, Adventure, Comedy            ",6.5,0,Jon M. Chu,"['Jesse Eisenberg, ', 'Mark Ruffalo, ', 'Woody Harrelson, ', 'Dave Franco', '']",251747,$65.08M
Stretch,2014),R,94," Comedy, Crime            ",6.5,0,Joe Carnahan,"['Patrick Wilson, ', 'Ed Helms, ', 'James Badge Dale, ', 'Brooklyn Decker', '']",29794,0
Homefront,I) (2013),R,100," Action, Crime, Thriller            ",6.5,0,Gary Fleder,"['Jason Statham, ', 'James Franco, ', 'Winona Ryder, ', 'Kate Bosworth', '']",110018,$20.16M
Money Monster,2016),R,98," Crime, Drama, Mystery            ",6.5,0,Jodie Foster,"['George Clooney, ', 'Julia Roberts, ', ""Jack O'Connell, "", 'Dominic West', '']",95112,$41.01M
Dead Man Down,2013),R,118," Action, Crime, Drama            ",6.5,0,Niels Arden Oplev,"['Colin Farrell, ', 'Noomi Rapace, ', 'Dominic Cooper, ', 'Terrence Howard', '']",64048,$10.88M
Sightseers,2012),Not Rated,88," Adventure, Comedy, Crime            ",6.5,69        ,Ben Wheatley,"['Alice Lowe, ', 'Kenneth Hadley, ', 'Steve Oram, ', 'Eileen Davies', '']",26987,$0.04M
Safe,I) (2012),R,94," Action, Crime, Thriller            ",6.5,0,Boaz Yakin,"['Jason Statham, ', 'Catherine Chan, ', 'Chris Sarandon, ', 'Robert John Burke', '']",103933,$17.14M
Kick-Ass 2,2013),R,103," Action, Comedy, Crime            ",6.5,0,Jeff Wadlow,"['Aaron Taylor-Johnson, ', 'Chloë Grace Moretz, ', 'Christopher Mintz-Plasse, ', 'Jim Carrey', '']",256023,$28.80M
Savages,2012),R,131," Crime, Thriller            ",6.5,0,Oliver Stone,"['Aaron Taylor-Johnson, ', 'Taylor Kitsch, ', 'Blake Lively, ', 'Benicio Del Toro', '']",123202,$47.38M
Premium Rush,2012),PG-13,91," Action, Crime, Thriller            ",6.5,66        ,David Koepp,"['Joseph Gordon-Levitt, ', 'Michael Shannon, ', 'Dania Ramirez, ', 'Sean Kennedy', '']",110394,$20.28M
Horns,2013),R,120," Comedy, Crime, Drama            ",6.5,0,Alexandre Aja,"['Daniel Radcliffe, ', 'Juno Temple, ', 'Max Minghella, ', 'Joe Anderson', '']",78283,$0.16M
Contraband,2012),R,109," Action, Crime, Drama            ",6.5,0,Baltasar Kormákur,"['Mark Wahlberg, ', 'Giovanni Ribisi, ', 'Kate Beckinsale, ', 'Robert Wahlberg', '']",117466,$66.53M
Halloween,I) (2018),R,106," Crime, Horror, Thriller            ",6.5,67        ,David Gordon Green,"['Jamie Lee Curtis, ', 'Judy Greer, ', 'Andi Matichak, ', 'James Jude Courtney', '']",122250,$159.34M
Stand Up Guys,2012),R,95," Comedy, Crime, Thriller            ",6.5,0,Fisher Stevens,"['Al Pacino, ', 'Christopher Walken, ', 'Alan Arkin, ', 'Julianna Margulies', '']",53404,$3.30M
District 13: Ultimatum,2009),R,101," Action, Crime, Thriller            ",6.5,64        ,Patrick Alessandrin,"['Cyril Raffaelli, ', 'David Belle, ', 'Philippe Torreton, ', 'Daniel Duval', '']",43031,$0.04M
From Paris with Love,2010),R,92," Action, Crime, Thriller            ",6.5,0,Pierre Morel,"['John Travolta, ', 'Jonathan Rhys Meyers, ', 'Kasia Smutniak, ', 'Richard Durden', '']",112648,$23.98M
Child 44,2015),R,137," Crime, Drama, History            ",6.5,0,Daniel Espinosa,"['Tom Hardy, ', 'Gary Oldman, ', 'Noomi Rapace, ', 'Joel Kinnaman', '']",66499,$1.21M
The International,I) (2009),R,118," Action, Crime, Drama            ",6.5,0,Tom Tykwer,"['Clive Owen, ', 'Naomi Watts, ', 'Armin Mueller-Stahl, ', 'Ulrich Thomsen', '']",91823,$25.45M
Sleuth,2007),R,88," Crime, Drama, Mystery            ",6.5,0,Kenneth Branagh,"['Michael Caine, ', 'Jude Law, ', 'Harold Pinter, ', 'Kenneth Branagh', '']",30567,$0.34M
Step Up,2006),PG-13,104," Crime, Drama, Music            ",6.5,0,Anne Fletcher,"['Channing Tatum, ', 'Jenna Dewan, ', 'Damaine Radcliff, ', ""De'Shawn Washington"", '']",111253,$65.33M
Frank Miller's Sin City: A Dame to Kill For,2014),R,102," Action, Crime, Thriller            ",6.5,0,"Frank Miller, ","['    Stars:', 'Mickey Rourke, ', 'Jessica Alba, ', 'Josh Brolin, ', 'Joseph Gordon-Levitt']",153313,$13.76M
Unknown,I) (2006),Not Rated,85," Crime, Drama, Mystery            ",6.5,0,Simon Brand,"['Jim Caviezel, ', 'Greg Kinnear, ', 'Bridget Moynahan, ', 'Joe Pantoliano', '']",29350,$0.14M
Hollywoodland,2006),R,126," Biography, Crime, Drama            ",6.5,62        ,Allen Coulter,"['Adrien Brody, ', 'Ben Affleck, ', 'Diane Lane, ', 'Bob Hoskins', '']",32949,$14.42M
Chaos,II) (2005,R,106," Action, Crime, Drama            ",6.5,0,Tony Giglio,"['Jason Statham, ', 'Ryan Phillippe, ', 'Wesley Snipes, ', 'Henry Czerny', '']",51631,0
A Walk Among the Tombstones,2014),R,114," Action, Crime, Drama            ",6.5,0,Scott Frank,"['Liam Neeson, ', 'Dan Stevens, ', 'David Harbour, ', 'Boyd Holbrook', '']",113182,$26.31M
Spartan,2004),R,106," Action, Crime, Drama            ",6.5,0,David Mamet,"['Val Kilmer, ', 'Derek Luke, ', 'William H. Macy, ', 'Tia Texada', '']",29266,$4.43M
Mr. & Mrs. Smith,2005),PG-13,120," Action, Comedy, Crime            ",6.5,0,Doug Liman,"['Brad Pitt, ', 'Angelina Jolie, ', 'Adam Brody, ', 'Vince Vaughn', '']",452751,$186.34M
Ocean's Twelve,2004),PG-13,125," Crime, Thriller            ",6.5,0,Steven Soderbergh,"['George Clooney, ', 'Brad Pitt, ', 'Julia Roberts, ', 'Catherine Zeta-Jones', '']",361412,$125.54M
Cellular,2004),PG-13,94," Action, Crime, Thriller            ",6.5,0,David R. Ellis,"['Kim Basinger, ', 'Chris Evans, ', 'Jason Statham, ', 'William H. Macy', '']",93712,$32.00M
Out of Time,I) (2003),PG-13,105," Crime, Drama, Mystery            ",6.5,63        ,Carl Franklin,"['Denzel Washington, ', 'Sanaa Lathan, ', 'Eva Mendes, ', 'Dean Cain', '']",57378,$40.91M
Mean Machine,2001),R,99," Comedy, Crime, Drama            ",6.5,0,Barry Skolnick,"['Vinnie Jones, ', 'David Kelly, ', 'David Hemmings, ', 'Ralph Brown', '']",35996,$0.09M
Ned Kelly,2003),R,110," Action, Adventure, Biography            ",6.5,0,Gregor Jordan,"['Heath Ledger, ', 'Orlando Bloom, ', 'Geoffrey Rush, ', 'Naomi Watts', '']",25998,$0.07M
Basic,2003),R,98," Action, Crime, Drama            ",6.5,0,John McTiernan,"['John Travolta, ', 'Samuel L. Jackson, ', 'Connie Nielsen, ', 'Tim Daly', '']",59611,$26.54M
Heist,2001),R,109," Action, Crime, Drama            ",6.5,66        ,David Mamet,"['Gene Hackman, ', 'Rebecca Pidgeon, ', 'Danny DeVito, ', 'Delroy Lindo', '']",33616,$0.05M
Swordfish,2001),R,99," Action, Crime, Thriller            ",6.5,0,Dominic Sena,"['John Travolta, ', 'Hugh Jackman, ', 'Halle Berry, ', 'Don Cheadle', '']",176674,$69.77M
Bandits,2001),PG-13,123," Comedy, Crime, Drama            ",6.5,0,Barry Levinson,"['Bruce Willis, ', 'Billy Bob Thornton, ', 'Cate Blanchett, ', 'Troy Garity', '']",65594,$41.58M
Awake,2007),R,84," Crime, Drama, Mystery            ",6.5,0,Joby Harold,"['Hayden Christensen, ', 'Jessica Alba, ', 'Terrence Howard, ', 'Lena Olin', '']",72685,$14.38M
Gone in 60 Seconds,2000),PG-13,118," Action, Crime, Thriller            ",6.5,0,Dominic Sena,"['Nicolas Cage, ', 'Angelina Jolie, ', 'Giovanni Ribisi, ', 'T.J. Cross', '']",261656,$101.65M
Taxi 2,2000),Not Rated,88," Action, Comedy, Crime            ",6.5,0,Gérard Krawczyk,"['Samy Naceri, ', 'Frédéric Diefenthal, ', 'Emma Wiklund, ', 'Marion Cotillard', '']",51464,$0.73M
Double Jeopardy,1999),R,105," Crime, Drama, Mystery            ",6.5,0,Bruce Beresford,"['Ashley Judd, ', 'Tommy Lee Jones, ', 'Bruce Greenwood, ', 'Benjamin Weir', '']",76011,$116.74M
8MM,1999),R,123," Crime, Drama, Mystery            ",6.5,0,Joel Schumacher,"['Nicolas Cage, ', 'Joaquin Phoenix, ', 'James Gandolfini, ', 'Peter Stormare', '']",124793,$36.66M
Wild Things,1998),R,108," Crime, Drama, Mystery            ",6.5,0,John McNaughton,"['Kevin Bacon, ', 'Neve Campbell, ', 'Matt Dillon, ', 'Denise Richards', '']",109431,$29.75M
A Perfect Murder,1998),R,107," Crime, Drama, Thriller            ",6.5,0,Andrew Davis,"['Michael Douglas, ', 'Gwyneth Paltrow, ', 'Viggo Mortensen, ', 'David Suchet', '']",79859,$67.64M
The Prophecy,1995),R,98," Action, Crime, Drama            ",6.5,0,Gregory Widen,"['Christopher Walken, ', 'Elias Koteas, ', 'Virginia Madsen, ', 'Eric Stoltz', '']",29272,$16.12M
Naked Gun 33 1/3: The Final Insult,1994),PG-13,83," Comedy, Crime            ",6.5,63        ,Peter Segal,"['Leslie Nielsen, ', 'Priscilla Presley, ', 'George Kennedy, ', 'O.J. Simpson', '']",97927,$51.13M
Beverly Hills Cop II,1987),R,100," Action, Comedy, Crime            ",6.5,0,Tony Scott,"['Eddie Murphy, ', 'Judge Reinhold, ', 'Jürgen Prochnow, ', 'Ronny Cox', '']",108542,$153.67M
Batman: The Movie,1966),PG,105," Adventure, Comedy, Crime            ",6.5,71        ,Leslie H. Martinson,"['Adam West, ', 'Burt Ward, ', 'Lee Meriwether, ', 'Cesar Romero', '']",29893,0
Batman: The Killing Joke,2016),R,76," Animation, Action, Crime            ",6.4,0,Sam Liu,"['Kevin Conroy, ', 'Mark Hamill, ', 'Tara Strong, ', 'Ray Wise', '']",50163,$3.78M
Shaft,2019),R,111," Action, Comedy, Crime            ",6.4,0,Tim Story,"['Samuel L. Jackson, ', 'Jessie T. Usher, ', 'Richard Roundtree, ', 'Regina Hall', '']",45634,$21.36M
Free Fire,2016),R,91," Action, Comedy, Crime            ",6.4,63        ,Ben Wheatley,"['Sharlto Copley, ', 'Brie Larson, ', 'Armie Hammer, ', 'Cillian Murphy', '']",42593,$1.80M
Blood Father,2016),R,88," Action, Crime, Drama            ",6.4,66        ,Jean-François Richet,"['Mel Gibson, ', 'Erin Moriarty, ', 'Diego Luna, ', 'Michael Parks', '']",60088,0
Son of a Gun,2014),R,108," Action, Crime, Drama            ",6.4,0,Julius Avery,"['Ewan McGregor, ', 'Brenton Thwaites, ', 'Alicia Vikander, ', 'Brendan Kerkvliet', '']",26625,$0.00M
Live by Night,2016),R,129," Action, Crime, Drama            ",6.4,0,Ben Affleck,"['Ben Affleck, ', 'Elle Fanning, ', 'Brendan Gleeson, ', 'Chris Messina', '']",52517,$10.38M
The Rover,2014),R,103," Action, Crime, Drama            ",6.4,64        ,David Michôd,"['Guy Pearce, ', 'Robert Pattinson, ', 'Scoot McNairy, ', 'David Field', '']",45088,$1.11M
Muppets Most Wanted,2014),PG,107," Adventure, Comedy, Crime            ",6.4,61        ,James Bobin,"['Ricky Gervais, ', 'Ty Burrell, ', 'Tina Fey, ', 'Steve Whitmire', '']",31966,$51.18M
The Frozen Ground,2013),R,105," Crime, Thriller            ",6.4,0,Scott Walker,"['Nicolas Cage, ', 'Vanessa Hudgens, ', 'John Cusack, ', 'Dean Norris', '']",58926,0
Pain & Gain,2013),R,129," Action, Comedy, Crime            ",6.4,0,Michael Bay,"['Mark Wahlberg, ', 'Dwayne Johnson, ', 'Anthony Mackie, ', 'Tony Shalhoub', '']",201938,$49.88M
Compliance,2012),R,90," Crime, Drama, Thriller            ",6.4,68        ,Craig Zobel,"['Ann Dowd, ', 'Dreama Walker, ', 'Pat Healy, ', 'Bill Camp', '']",31754,$0.32M
Let's Be Cops,2014),R,104," Action, Comedy, Crime            ",6.4,0,Luke Greenfield,"['Jake Johnson, ', 'Damon Wayans Jr., ', 'Rob Riggle, ', 'Nina Dobrev', '']",127679,$82.39M
Kill List,2011),Not Rated,95," Action, Crime, Horror            ",6.4,67        ,Ben Wheatley,"['Neil Maskell, ', 'MyAnna Buring, ', 'Harry Simpson, ', 'Michael Smiley', '']",36956,$0.03M
The Voices,2014),R,103," Comedy, Crime, Fantasy            ",6.4,0,Marjane Satrapi,"['Ryan Reynolds, ', 'Gemma Arterton, ', 'Anna Kendrick, ', 'Jacki Weaver', '']",53648,0
Flypaper,2011),Not Rated,87," Comedy, Crime, Mystery            ",6.4,0,Rob Minkoff,"['Patrick Dempsey, ', 'Ashley Judd, ', 'Tim Blake Nelson, ', 'Mekhi Phifer', '']",31813,$0.00M
Triple Frontier,2019),R,125," Action, Adventure, Crime            ",6.4,61        ,J.C. Chandor,"['Ben Affleck, ', 'Oscar Isaac, ', 'Charlie Hunnam, ', 'Garrett Hedlund', '']",109622,0
The Raven,I) (2012),R,110," Crime, Mystery, Thriller            ",6.4,0,James McTeigue,"['John Cusack, ', 'Alice Eve, ', 'Luke Evans, ', 'Brendan Gleeson', '']",82546,$16.01M
Killer Elite,2011),R,116," Action, Crime, Thriller            ",6.4,0,Gary McKendry,"['Jason Statham, ', 'Clive Owen, ', 'Robert De Niro, ', 'Dominic Purcell', '']",124298,$25.12M
Faster,2010),R,98," Action, Crime, Drama            ",6.4,0,George Tillman Jr.,"['Dwayne Johnson, ', 'Billy Bob Thornton, ', 'Maggie Grace, ', 'Mauricio Lopez', '']",101290,$23.24M
Solace,II) (2015,R,101," Crime, Drama, Mystery            ",6.4,0,Afonso Poyart,"['Anthony Hopkins, ', 'Jeffrey Dean Morgan, ', 'Abbie Cornish, ', 'Colin Farrell', '']",56785,0
Leaves of Grass,2009),R,105," Comedy, Crime, Drama            ",6.4,0,Tim Blake Nelson,"['Edward Norton, ', 'Keri Russell, ', 'Henry Max Nelson, ', 'Lucy DeVito', '']",26495,$0.07M
Death Wish,2018),R,107," Action, Crime, Drama            ",6.4,0,Eli Roth,"['Bruce Willis, ', ""Vincent D'Onofrio, "", 'Elisabeth Shue, ', 'Camila Morrone', '']",64432,$34.02M
The Informant!,2009),R,108," Biography, Comedy, Crime            ",6.4,66        ,Steven Soderbergh,"['Matt Damon, ', 'Tony Hale, ', 'Patton Oswalt, ', 'Lucas McHugh Carroll', '']",63083,$33.31M
The Taking of Pelham 123,2009),R,106," Action, Crime, Thriller            ",6.4,0,Tony Scott,"['Denzel Washington, ', 'John Travolta, ', 'Luis Guzmán, ', 'Victor Gojcaj', '']",187160,$65.45M
The Collector,I) (2009),R,90," Action, Crime, Horror            ",6.4,0,Marcus Dunstan,"['Josh Stewart, ', 'Andrea Roth, ', 'Juan Fernández, ', 'William Prael', '']",59037,$7.71M
The Number 23,2007),R,98," Crime, Mystery, Thriller            ",6.4,0,Joel Schumacher,"['Jim Carrey, ', 'Virginia Madsen, ', 'Logan Lerman, ', 'Danny Huston', '']",193873,$35.19M
Hoodwinked,2005),PG,80," Animation, Comedy, Crime            ",6.4,0,"Cory Edwards, ","['| ', '    Stars:', 'Anne Hathaway, ', 'Glenn Close, ', 'Patrick Warburton, ']",56799,$51.39M
The Longest Yard,2005),PG-13,113," Comedy, Crime, Sport            ",6.4,0,Peter Segal,"['Adam Sandler, ', 'Burt Reynolds, ', 'Chris Rock, ', 'Nelly', '']",163533,$158.12M
The Interpreter,2005),PG-13,128," Crime, Mystery, Thriller            ",6.4,62        ,Sydney Pollack,"['Nicole Kidman, ', 'Sean Penn, ', 'Catherine Keener, ', 'Jesper Christensen', '']",98147,$72.71M
Revolver,2005),R,111," Action, Crime, Drama            ",6.4,0,Guy Ritchie,"['Jason Statham, ', 'Ray Liotta, ', 'André 3000, ', 'Vincent Pastore', '']",90243,$0.08M
The Punisher,2004),R,124," Action, Crime, Drama            ",6.4,0,Jonathan Hensleigh,"['Thomas Jane, ', 'John Travolta, ', 'Samantha Mathis, ', 'Laura Harring', '']",150233,$33.68M
Blood Work,2002),R,110," Action, Crime, Drama            ",6.4,64        ,Clint Eastwood,"['Clint Eastwood, ', 'Jeff Daniels, ', 'Anjelica Huston, ', 'Wanda De Jesus', '']",42300,$26.20M
