title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Over the Hedge,2006),PG,83," Animation, Adventure, Comedy            ",6.7,67        ,"Tim Johnson, ","['    Stars:', 'Bruce Willis, ', 'Garry Shandling, ', 'Steve Carell, ', 'Wanda Sykes']",160899,$155.02M
The Eye,2002),R,99," Drama, Fantasy, Horror            ",6.7,66        ,"Danny Pang, ","['    Stars:', 'Angelica Lee, ', 'Chutcha Rujinanon, ', 'Lawrence Chou, ', 'Jinda Duangtoy']",27997,$0.50M
Blade II,2002),R,117," Action, Fantasy, Horror            ",6.7,0,Guillermo del Toro,"['Wesley Snipes, ', 'Kris Kristofferson, ', 'Ron Perlman, ', 'Leonor Varela', '']",201048,$82.35M
Sinbad: Legend of the Seven Seas,2003),PG,86," Animation, Adventure, Family            ",6.7,0,"Patrick Gilmore, ","['    Stars:', 'Brad Pitt, ', 'Catherine Zeta-Jones, ', 'Joseph Fiennes, ', 'Michelle Pfeiffer']",49756,$26.48M
The Legend of Bagger Vance,2000),PG-13,126," Drama, Fantasy, Sport            ",6.7,0,Robert Redford,"['Will Smith, ', 'Matt Damon, ', 'Charlize Theron, ', 'Bruce McGill', '']",53833,$30.70M
City of Angels,1998),PG-13,114," Drama, Fantasy, Romance            ",6.7,0,Brad Silberling,"['Nicolas Cage, ', 'Meg Ryan, ', 'Andre Braugher, ', 'Dennis Franz', '']",114182,$78.69M
Sliding Doors,1998),PG-13,99," Comedy, Drama, Fantasy            ",6.7,0,Peter Howitt,"['Gwyneth Paltrow, ', 'John Hannah, ', 'John Lynch, ', 'Jeanne Tripplehorn', '']",63957,$11.88M
James and the Giant Peach,1996),PG,79," Animation, Adventure, Family            ",6.7,78        ,Henry Selick,"['Paul Terry, ', 'Joanna Lumley, ', 'Pete Postlethwaite, ', 'Simon Callow', '']",60604,$28.93M
Cronos,1993),R,94," Fantasy, Horror            ",6.7,70        ,Guillermo del Toro,"['Federico Luppi, ', 'Ron Perlman, ', 'Claudio Brook, ', 'Margarita Isabel', '']",27380,$0.62M
L.A. Story,1991),PG-13,95," Comedy, Drama, Fantasy            ",6.7,66        ,Mick Jackson,"['Steve Martin, ', 'Victoria Tennant, ', 'Richard E. Grant, ', 'Sarah Jessica Parker', '']",29674,$28.86M
*batteries not included,1987),PG,106," Comedy, Family, Fantasy            ",6.7,0,Matthew Robbins,"['Hume Cronyn, ', 'Jessica Tandy, ', 'Frank McRae, ', 'Elizabeth Peña', '']",31708,$32.95M
Heavy Metal,1981),R,86," Animation, Adventure, Fantasy            ",6.7,0,"Gerald Potterton, ","['Julian Harris, ', 'Jimmy T. Murakami, ', 'Barrie Nelson, ', 'Paul Sabella, ', 'Jack Stokes, ']",32005,0
Jumanji: The Next Level,2019),PG-13,123," Action, Adventure, Comedy            ",6.6,0,Jake Kasdan,"['Dwayne Johnson, ', 'Jack Black, ', 'Kevin Hart, ', 'Karen Gillan', '']",192477,$316.83M
The Old Guard,2020),R,125," Action, Adventure, Fantasy            ",6.6,70        ,Gina Prince-Bythewood,"['Charlize Theron, ', 'KiKi Layne, ', 'Matthias Schoenaerts, ', 'Marwan Kenzari', '']",130183,0
Smallfoot,2018),PG,96," Animation, Adventure, Comedy            ",6.6,0,"Karey Kirkpatrick, ","['    Stars:', 'Channing Tatum, ', 'James Corden, ', 'Zendaya, ', 'Common']",34640,$83.24M
Peter Rabbit,2018),PG,95," Adventure, Comedy, Family            ",6.6,0,Will Gluck,"['James Corden, ', 'Fayssal Bazzi, ', 'Domhnall Gleeson, ', 'Sia', '']",35771,$115.25M
Maleficent: Mistress of Evil,2019),PG,119," Adventure, Family, Fantasy            ",6.6,0,Joachim Rønning,"['Angelina Jolie, ', 'Elle Fanning, ', 'Harris Dickinson, ', 'Michelle Pfeiffer', '']",86900,$113.93M
Fantastic Beasts: The Crimes of Grindelwald,2018),PG-13,134," Adventure, Family, Fantasy            ",6.6,0,David Yates,"['Eddie Redmayne, ', 'Katherine Waterston, ', 'Dan Fogler, ', 'Johnny Depp', '']",226580,$159.56M
Kong: Skull Island,2017),PG-13,118," Action, Adventure, Fantasy            ",6.6,62        ,Jordan Vogt-Roberts,"['Tom Hiddleston, ', 'Samuel L. Jackson, ', 'Brie Larson, ', 'John C. Reilly', '']",274873,$168.05M
The Lego Movie 2: The Second Part,2019),PG,107," Animation, Action, Adventure            ",6.6,65        ,Mike Mitchell,"['Chris Pratt, ', 'Elizabeth Banks, ', 'Will Arnett, ', 'Tiffany Haddish', '']",55898,$105.81M
Star Wars: Episode IX - The Rise of Skywalker,2019),PG-13,141," Action, Adventure, Fantasy            ",6.6,0,J.J. Abrams,"['Daisy Ridley, ', 'John Boyega, ', 'Oscar Isaac, ', 'Adam Driver', '']",380456,$515.20M
Home,II) (2015,PG,94," Animation, Adventure, Comedy            ",6.6,0,Tim Johnson,"['Jim Parsons, ', 'Rihanna, ', 'Steve Martin, ', 'Jennifer Lopez', '']",92517,$177.40M
The Final Girls,2015),PG-13,91," Comedy, Drama, Fantasy            ",6.6,0,Todd Strauss-Schulson,"['Taissa Farmiga, ', 'Malin Akerman, ', 'Adam Devine, ', 'Thomas Middleditch', '']",35317,0
The Amazing Spider-Man 2,2014),PG-13,142," Action, Adventure, Fantasy            ",6.6,0,Marc Webb,"['Andrew Garfield, ', 'Emma Stone, ', 'Jamie Foxx, ', 'Paul Giamatti', '']",419409,$202.85M
Ender's Game,2013),PG-13,114," Action, Adventure, Fantasy            ",6.6,0,Gavin Hood,"['Harrison Ford, ', 'Asa Butterfield, ', 'Hailee Steinfeld, ', 'Abigail Breslin', '']",224843,$61.74M
The Odd Life of Timothy Green,2012),PG,105," Comedy, Drama, Family            ",6.6,0,Peter Hedges,"['Jennifer Garner, ', 'Joel Edgerton, ', 'CJ Adams, ', 'Odeya Rush', '']",45127,$51.85M
Pirates of the Caribbean: On Stranger Tides,2011),PG-13,136," Action, Adventure, Fantasy            ",6.6,0,Rob Marshall,"['Johnny Depp, ', 'Penélope Cruz, ', 'Ian McShane, ', 'Geoffrey Rush', '']",484065,$241.06M
Pontypool,2008),Not Rated,93," Fantasy, Horror, Thriller            ",6.6,0,Bruce McDonald,"['Stephen McHattie, ', 'Lisa Houle, ', 'Georgina Reilly, ', 'Hrant Alianak', '']",29497,$0.00M
The Forbidden Kingdom,2008),PG-13,104," Action, Adventure, Fantasy            ",6.6,0,Rob Minkoff,"['Jackie Chan, ', 'Jet Li, ', 'Michael Angarano, ', 'Juana Collignon', '']",101654,$52.08M
Underworld: Rise of the Lycans,2009),R,92," Action, Fantasy, Thriller            ",6.6,0,Patrick Tatopoulos,"['Rhona Mitra, ', 'Michael Sheen, ', 'Bill Nighy, ', 'Steven Mackintosh', '']",151856,$45.80M
Prince of Persia: The Sands of Time,2010),PG-13,116," Action, Adventure, Fantasy            ",6.6,0,Mike Newell,"['Jake Gyllenhaal, ', 'Gemma Arterton, ', 'Ben Kingsley, ', 'Alfred Molina', '']",272890,$90.76M
Scoop,2006),PG-13,96," Comedy, Crime, Fantasy            ",6.6,0,Woody Allen,"['Scarlett Johansson, ', 'Hugh Jackman, ', 'Jim Dunk, ', 'Robert Bathurst', '']",81137,$10.53M
Puss in Boots,2011),PG,90," Animation, Action, Adventure            ",6.6,65        ,Chris Miller,"['Antonio Banderas, ', 'Salma Hayek, ', 'Zach Galifianakis, ', 'Billy Bob Thornton', '']",145344,$149.26M
Flushed Away,2006),PG,85," Animation, Adventure, Comedy            ",6.6,74        ,"David Bowers, ","['    Stars:', 'Hugh Jackman, ', 'Kate Winslet, ', 'Ian McKellen, ', 'Jean Reno']",114238,$64.67M
Monster House,2006),PG,91," Animation, Comedy, Family            ",6.6,68        ,Gil Kenan,"['Mitchel Musso, ', 'Sam Lerner, ', 'Spencer Locke, ', 'Ryan Whitney', '']",102425,$73.66M
Charlie and the Chocolate Factory,2005),PG,115," Adventure, Comedy, Family            ",6.6,72        ,Tim Burton,"['Johnny Depp, ', 'Freddie Highmore, ', 'David Kelly, ', 'Helena Bonham Carter', '']",431952,$206.46M
