title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Bay,II) (2012,R,84," Horror, Sci-Fi, Thriller            ",5.6,65        ,Barry Levinson,"['Will Rogers, ', 'Kristen Connolly, ', 'Kether Donohue, ', 'Frank Deal', '']",25738,$0.03M
The Dark Tower,2017),PG-13,95," Action, Adventure, Fantasy            ",5.6,0,Nikolaj Arcel,"['Idris Elba, ', 'Matthew McConaughey, ', 'Tom Taylor, ', 'Dennis Haysbert', '']",129149,$50.70M
House at the End of the Street,2012),PG-13,101," Drama, Horror, Thriller            ",5.6,0,Mark Tonderai,"['Jennifer Lawrence, ', 'Elisabeth Shue, ', 'Max Thieriot, ', 'Gil Bellows', '']",73176,$31.61M
Paranormal Activity 2,2010),R,91," Horror, Mystery            ",5.6,0,Tod Williams,"['Katie Featherston, ', 'Micah Sloat, ', 'Molly Ephraim, ', 'David Bierend', '']",99032,$84.75M
Saw: The Final Chapter,2010),R,90," Crime, Horror, Mystery            ",5.6,0,Kevin Greutert,"['Tobin Bell, ', 'Costas Mandylor, ', 'Betsy Russell, ', 'Cary Elwes', '']",91021,$45.71M
The Ward,2010),R,89," Horror, Mystery, Thriller            ",5.6,0,John Carpenter,"['Amber Heard, ', 'Mamie Gummer, ', 'Danielle Panabaker, ', 'Laura-Leigh', '']",40521,0
The Last Exorcism,2010),PG-13,87," Horror, Mystery, Thriller            ",5.6,63        ,Daniel Stamm,"['Patrick Fabian, ', 'Ashley Bell, ', 'Iris Bahr, ', 'Louis Herthum', '']",48062,$41.03M
Don't Be Afraid of the Dark,2010),R,99," Adventure, Fantasy, Horror            ",5.6,0,Troy Nixey,"['Katie Holmes, ', 'Guy Pearce, ', 'Bailee Madison, ', 'Bruce Gleeson', '']",47091,$24.04M
Diary of the Dead,2007),R,95," Fantasy, Horror, Sci-Fi            ",5.6,66        ,George A. Romero,"['Michelle Morgan, ', 'Joshua Close, ', 'Shawn Roberts, ', 'Todd Schroeder', '']",45949,$0.96M
The Reaping,2007),R,99," Horror, Thriller            ",5.6,0,Stephen Hopkins,"['Hilary Swank, ', 'David Morrissey, ', 'AnnaSophia Robb, ', 'Idris Elba', '']",41985,$25.12M
Dark Water,2005),PG-13,105," Drama, Horror, Mystery            ",5.6,0,Walter Salles,"['Jennifer Connelly, ', 'Ariel Gade, ', 'John C. Reilly, ', 'Tim Roth', '']",59860,$25.47M
Creep,I) (2004),R,85," Horror, Mystery, Thriller            ",5.6,0,Christopher Smith,"['Franka Potente, ', 'Sean Harris, ', 'Vas Blackwood, ', 'Ken Campbell', '']",28303,0
Alien vs. Predator,2004),PG-13,101," Action, Adventure, Horror            ",5.6,0,Paul W.S. Anderson,"['Sanaa Lathan, ', 'Lance Henriksen, ', 'Raoul Bova, ', 'Ewen Bremner', '']",185776,$80.28M
Jeepers Creepers 2,2003),R,104, Horror            ,5.6,0,Victor Salva,"['Jonathan Breck, ', 'Ray Wise, ', 'Nicki Aycox, ', 'Garikayi Mutambirwa', '']",58770,$35.67M
Thir13en Ghosts,2001),R,91," Fantasy, Horror            ",5.6,0,Steve Beck,"['Tony Shalhoub, ', 'Shannon Elizabeth, ', 'Embeth Davidtz, ', 'Matthew Lillard', '']",80208,$41.87M
Urban Legend,1998),R,99," Horror, Mystery, Thriller            ",5.6,0,Jamie Blanks,"['Jared Leto, ', 'Alicia Witt, ', 'Rebecca Gayheart, ', 'Michael Rosenbaum', '']",60734,$38.07M
Scream 3,2000),R,116," Horror, Mystery            ",5.6,0,Wes Craven,"['David Arquette, ', 'Neve Campbell, ', 'Courteney Cox, ', 'Liev Schreiber', '']",124574,$89.14M
The Texas Chainsaw Massacre 2,1986),Unrated,101," Comedy, Horror            ",5.6,0,Tobe Hooper,"['Dennis Hopper, ', 'Caroline Williams, ', 'Jim Siedow, ', 'Bill Moseley', '']",28245,$8.03M
The Dead Don't Die,2019),R,104," Comedy, Fantasy, Horror            ",5.5,0,Jim Jarmusch,"['Bill Murray, ', 'Adam Driver, ', 'Tom Waits, ', 'Chloë Sevigny', '']",54934,$6.56M
Unfriended,2014),R,83," Horror, Mystery, Thriller            ",5.5,0,Levan Gabriadze,"['Heather Sossaman, ', 'Matthew Bohrer, ', 'Courtney Halverson, ', 'Shelley Hennig', '']",69117,$32.48M
Resident Evil: The Final Chapter,2016),R,107," Action, Horror, Sci-Fi            ",5.5,0,Paul W.S. Anderson,"['Milla Jovovich, ', 'Iain Glen, ', 'Ali Larter, ', 'Shawn Roberts', '']",84815,$26.83M
