title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
A Man Called Ove,2015),PG-13,116," Comedy, Drama, Romance            ",7.7,70        ,Hannes Holm,"['Rolf Lassgård, ', 'Bahar Pars, ', 'Filip Berg, ', 'Ida Engvoll', '']",48092,$3.36M
The Theory of Everything,2014),PG-13,123," Biography, Drama, Romance            ",7.7,72        ,James Marsh,"['Eddie Redmayne, ', 'Felicity Jones, ', 'Tom Prior, ', 'Sophie Perry', '']",407896,$35.89M
The Fault in Our Stars,2014),PG-13,126," Drama, Romance            ",7.7,69        ,Josh Boone,"['Shailene Woodley, ', 'Ansel Elgort, ', 'Nat Wolff, ', 'Laura Dern', '']",346459,$124.87M
Blue Is the Warmest Colour,2013),NC-17,180," Drama, Romance            ",7.7,89        ,Abdellatif Kechiche,"['Léa Seydoux, ', 'Adèle Exarchopoulos, ', 'Salim Kechiouche, ', 'Aurélien Recoing', '']",139757,$2.20M
The Broken Circle Breakdown,2012),Not Rated,111," Drama, Music, Romance            ",7.7,70        ,Felix van Groeningen,"['Veerle Baetens, ', 'Johan Heldenbergh, ', 'Nell Cattrysse, ', 'Geert Van Rampelberg', '']",39580,$0.18M
Rockstar,2011),Not Rated,159," Drama, Music, Musical            ",7.7,0,Imtiaz Ali,"['Ranbir Kapoor, ', 'Nargis Fakhri, ', 'Shammi Kapoor, ', 'Kumud Mishra', '']",39773,$0.99M
Midnight in Paris,2011),PG-13,94," Comedy, Fantasy, Romance            ",7.7,81        ,Woody Allen,"['Owen Wilson, ', 'Rachel McAdams, ', 'Kathy Bates, ', 'Kurt Fuller', '']",390680,$56.82M
Silver Linings Playbook,2012),R,122," Comedy, Drama, Romance            ",7.7,81        ,David O. Russell,"['Bradley Cooper, ', 'Jennifer Lawrence, ', 'Robert De Niro, ', 'Jacki Weaver', '']",665463,$132.09M
500 Days of Summer,2009),PG-13,95," Comedy, Drama, Romance            ",7.7,76        ,Marc Webb,"['Zooey Deschanel, ', 'Joseph Gordon-Levitt, ', 'Geoffrey Arend, ', 'Chloë Grace Moretz', '']",474830,$32.39M
Flipped,I) (2010),PG,90," Comedy, Drama, Romance            ",7.7,0,Rob Reiner,"['Madeline Carroll, ', 'Callan McAuliffe, ', 'Rebecca De Mornay, ', 'Anthony Edwards', '']",81937,$1.75M
The Girl Who Leapt Through Time,2006),TV-PG,98," Animation, Adventure, Comedy            ",7.7,0,Mamoru Hosoda,"['Riisa Naka, ', 'Takuya Ishida, ', 'Mitsutaka Itakura, ', 'Ayami Kakiuchi', '']",60864,0
Joyeux Noel,2005),PG-13,116," Drama, History, Music            ",7.7,70        ,Christian Carion,"['Diane Kruger, ', 'Benno Fürmann, ', 'Guillaume Canet, ', 'Natalie Dessay', '']",28104,$1.05M
Tangled,2010),PG,100," Animation, Adventure, Comedy            ",7.7,71        ,"Nathan Greno, ","['    Stars:', 'Mandy Moore, ', 'Zachary Levi, ', 'Donna Murphy, ', 'Ron Perlman']",408692,$200.82M
Brokeback Mountain,2005),R,134," Drama, Romance            ",7.7,87        ,Ang Lee,"['Jake Gyllenhaal, ', 'Heath Ledger, ', 'Michelle Williams, ', 'Randy Quaid', '']",325212,$83.04M
Good Bye Lenin!,2003),R,121," Comedy, Drama, Romance            ",7.7,68        ,Wolfgang Becker,"['Daniel Brühl, ', 'Katrin Saß, ', 'Chulpan Khamatova, ', 'Florian Lukas', '']",138606,$4.06M
Rushmore,1998),R,93," Comedy, Drama, Romance            ",7.7,86        ,Wes Anderson,"['Jason Schwartzman, ', 'Bill Murray, ', 'Olivia Williams, ', 'Seymour Cassel', '']",170563,$17.11M
As Good as It Gets,1997),PG-13,139," Comedy, Drama, Romance            ",7.7,67        ,James L. Brooks,"['Jack Nicholson, ', 'Helen Hunt, ', 'Greg Kinnear, ', 'Cuba Gooding Jr.', '']",277430,$148.48M
Shine,1996),PG-13,105," Biography, Drama, Music            ",7.7,87        ,Scott Hicks,"['Geoffrey Rush, ', 'Armin Mueller-Stahl, ', 'Justin Braine, ', 'Sonia Todd', '']",51557,$35.81M
Fallen Angels,1995),Not Rated,99," Comedy, Crime, Drama            ",7.7,71        ,Kar-Wai Wong,"['Leon Lai, ', 'Michelle Reis, ', 'Takeshi Kaneshiro, ', 'Charlie Yeung', '']",27086,0
